eval/D_mean,train/callback_time,eval/M_high,train/epoch,train/pde_loss,train/time,eval/D_low,eval/R_low,eval/sd_mean,eval/M_mean,train/gls_loss,train/progress,eval/sd_high,train/mse,train/theta_loss,eval/ci_range,eval/M_low,eval/sd_low,eval/D_high,train/sol_loss,eval/R_mean,eval/R_high
1.6734703,0.0010427970886230462,0.99454715102911,2000,1.1339987868368637,0.021741928458213766,1.1742470413446426,0.4015326537191868,46.73387765325606,0.78973216,2236.6731777954064,0.01,178.69184017181374,0.008443769067525864,0.1314372718334198,319.16558837890625,0.5581931784749031,15.514403604902327,2.142709332704544,5.944112671494497,0.4973484,0.591027669608593
2.9747581,0.0009774343967437731,0.6079400524497032,4000,0.18426479601487517,0.020779743313789387,2.2105557322502136,0.596275769174099,10.485977943520993,0.57954955,583.730669677732,0.02,14.619341213256119,0.005867710802704096,0.05746784061193466,32.36637878417969,0.5581690639257431,7.796602521557361,3.945734691619873,1.2703825061321306,0.62364656,0.638121896982193
4.931208,0.0009804903268814057,0.6452633738517761,6000,0.18219911809265613,0.02086185121536255,4.068123912811279,0.5867611840367317,6.954049134161323,0.631567,414.22536067199644,0.03,7.632597303017974,0.00474619772285223,0.02608358860015869,46.74403762817383,0.6109791859984398,6.787823687773198,5.5036149501800535,0.9134394870400443,0.60967785,0.6371691137552261
5.9422655,0.0009900013208389248,0.657268775999546,8000,0.1902879182547332,0.020947446465492254,5.551971030235291,0.5781068116426468,6.703634208068252,0.65021604,358.9866039886471,0.04,6.896803772542626,0.004617366008460522,0.10951967537403107,37.78916549682617,0.6435187876224517,6.493660563137382,6.27555832862854,0.7965670205652721,0.5829821,0.5875426083803177
6.3154325,0.0009837408065795923,0.6604450434446335,10000,0.17972217970713983,0.020965354204177836,6.088990461826325,0.5689200520515442,6.269663659390062,0.6541134,331.33770143127487,0.05,6.828698620665818,0.003635112661868334,0.01233068946748972,46.385780334472656,0.649727737903595,5.94391159247607,6.410240983963012,0.7400901338756078,0.5733962,0.5791645348072052
5.5115395,0.0009829010963439944,0.652471849322319,12000,0.1879267462473361,0.020930717587471004,4.710110604763031,0.560413408279419,5.468316623708233,0.6380989,313.4390267181396,0.06,5.892696243245155,0.003391997655853629,0.14232413470745087,59.65461349487305,0.6199212417006492,5.079642776399851,6.147766435146331,0.7048537994921195,0.5648792,0.5695590451359749
3.655295,0.0009848763942718513,0.6188554912805557,14000,0.19618489409983147,0.02082466340065001,2.7803047358989716,0.5547122120857239,4.900606992654502,0.59117067,293.5978081893921,0.07,5.101502873003483,0.003348655067384243,0.009096445515751839,71.4549789428711,0.5604185461997986,4.784778086468577,4.5981078982353205,0.6629796972870836,0.5596397,0.5635512679815292
2.1532388,0.000978069067001341,0.5581845343112946,16000,0.210639083759859,0.020793465495109624,1.7096526980400086,0.547006344795227,5.214924064930528,0.52919424,294.9149568099972,0.08,5.5996447452344,0.0039639463648200035,0.006310742814093828,89.68147277832031,0.502257326245308,4.865491681266576,2.703327238559723,0.6721631444394578,0.5526835,0.5575252145528793
1.4075623,0.000982545375823973,0.5013514190912247,18000,0.2116724072843797,0.021007596373558028,1.187578597664833,0.5424474447965622,6.109997631516308,0.47907263,306.15523873901293,0.09,6.618546764366329,0.0028993000742048025,0.00144297000952065,102.77142333984375,0.45886571481823923,5.622478120494634,1.6800216525793075,0.710066786170004,0.54818296,0.5520182147622108
1.015732,0.000982384800910949,0.45786613076925275,20000,0.21882695474661826,0.02101757204532621,0.8757513061165809,0.5368742913007736,7.1664846336934716,0.4404547,300.9399567718513,0.1,7.714933215174824,0.004673118237406015,0.001963522285223007,111.4935302734375,0.42343985959887503,6.57805516384542,1.1697102576494216,0.6982126232534656,0.54245013,0.5476846188306809
