train/pde_loss,train/gls_loss,train/time,train/epoch,eval/M_mean,eval/D_mean,eval/M_high,train/progress,eval/R_high,train/theta_loss,eval/sd_high,eval/D_high,eval/R_low,train/callback_time,eval/M_low,eval/sd_low,train/mse,train/sol_loss,eval/R_mean,eval/D_low,eval/ci_range,eval/sd_mean
1.3698604488372805,3292.4961375732455,0.025339756250381488,2000,0.66135484,1.8235238,1.0062786668539048,0.01,0.5385004058480263,0.1546754240989685,203.13520804047562,2.420645481348038,0.40392059832811356,0.0010664288997650124,0.5280442953109741,17.327302135527134,0.01886257901787758,8.478543513655621,0.47927785,1.1569472908973695,335.81378173828125,53.717508632689714
0.3548026493489741,988.7906605834962,0.02429032158851634,4000,0.55607015,3.0490432,0.5761777803301811,0.02,0.5745382100343704,0.06308607757091522,16.413078317418694,3.5222083210945128,0.5445206254720688,0.0010064725875854488,0.5328524842858314,12.820198968984187,0.012340777553617954,2.2806555732488683,0.5686034,2.489853876829147,56.3218879699707,13.555354038719088
0.34898246921599,916.5534709777855,0.02444251167774195,6000,0.59142977,3.964288,0.6054956689476967,0.03,0.5794083565473557,0.031625766307115555,13.026823452673852,4.39855591058731,0.5730717420578003,0.0010090415477752705,0.5774594351649285,12.837485573254526,0.011987540870904922,2.1275056598186453,0.57614625,3.5664059996604918,38.79633712768555,12.942101790104061
0.30665636495500825,893.9468108825704,0.025093896865844786,8000,0.62151587,5.0652413,0.6374603807926178,0.04,0.5835750758647918,0.016292380169034004,13.34740649908781,5.723476219177246,0.5791268885135651,0.0010248491764068644,0.6053845196962356,12.854745634831488,0.011209814809262753,2.0773826978206613,0.58170205,4.453560376167298,45.92121505737305,13.032383374404162
0.34236827822402083,863.4375075988761,0.025330132365226757,10000,0.647911,6.303456,0.6585165500640869,0.05,0.5837347701191902,0.009486132301390171,14.994383743032813,6.597115755081177,0.5778648138046265,0.0010328509807586684,0.6368534624576568,13.552012224681675,0.01066585537046194,1.9867612511515613,0.5807263,5.7910807728767395,40.55616760253906,14.137604500167072
0.3711175404898807,848.8805507202126,0.024447941184043875,12000,0.6505581,6.4899955,0.6614142879843712,0.06,0.5839348405599594,0.009222621098160744,19.713352620601654,6.667159366607666,0.5747803330421448,0.0010182119607925432,0.6403168022632599,15.147618157789111,0.010392331518232822,1.9404170352816534,0.57977504,6.1792216300964355,60.91864776611328,17.237505185883492
0.38349174745381004,851.4866273498549,0.02430915367603309,14000,0.6334702,5.692909,0.6493949085474015,0.07,0.5833437949419021,0.004448325838893652,24.49667272157967,6.168204665184021,0.5734698429703713,0.0010149172544479373,0.6184518441557885,20.00566991046071,0.010843136347830296,1.9163331346511794,0.5787072,5.242031121253968,68.764892578125,22.425183853134513
0.3814094440452743,846.9398665161115,0.02512032306194312,16000,0.6091372,4.7554283,0.6258716821670532,0.08,0.5831916481256485,0.0028943989891558886,37.5100951641798,5.173740935325623,0.5726112201809883,0.0010243902206420919,0.5938501864671707,24.952428275719285,0.010523946024477482,1.8144305213093697,0.57853305,4.376723968982697,65.02134704589844,29.782145656645298
0.358986523274332,818.8526032714831,0.02475085008144381,18000,0.5828494,3.7973194,0.6028920844197273,0.09,0.5846569940447808,0.00182069162838161,57.9056172631681,4.352754843235016,0.5130388841032982,0.0010175496339797994,0.5617701336741447,38.33461459726095,0.009995576925575733,1.4613140121102393,0.55169517,3.215262770652771,84.51728057861328,48.97274121269584
0.2317970502357925,794.1068469543455,0.02445420289039615,20000,0.54785293,2.8452601,0.5653170838952064,0.1,0.5173924595117569,0.0031589556019753218,79.6920895576477,3.1634156882762907,0.5052819669246673,0.0010044736862182646,0.532185634970665,58.76972498372197,0.009654105640947819,0.9084780098199864,0.51200736,2.574771910905838,70.18489837646484,71.26404434815049
