train/gls_loss,train/pde_loss,train/sol_loss,eval/D_mean,eval/M_low,train/epoch,eval/R_low,eval/R_high,train/time,eval/ci_range,eval/sd_mean,eval/M_mean,eval/D_high,train/theta_loss,eval/R_mean,train/mse,eval/sd_high,train/progress,eval/M_high,eval/D_low,train/callback_time,eval/sd_low
588.8687360122657,2.5479300980340946,1.4605284562825969,27.123306,0.5159917578101159,20000,0.5022270232439041,0.6588731199502945,0.025285991144180443,101.85497283935547,10.12058946004836,0.7914094,54.12340698242187,0.0045203943736851215,0.63785243,0.007227525082766077,22.584219509735693,0.1,1.0324971377849577,1.2581078588962555,0.0010879731535911456,3.6226761643774807
551.121998577883,0.05877198782619109,0.37806816509366,97.54009,0.903798620402813,40000,0.5893340960144997,0.6308285787701606,0.025725233936309898,38.255104064941406,65.6343873878941,0.97503054,133.60117835998534,0.0002485574805177748,0.6086542,0.006529765118798234,79.14164420217276,0.2,1.0173078894615173,50.52117757797241,0.001075297474861159,25.658593932166696
535.7466472305346,0.025386199642531568,0.17215198279768315,112.58775,0.911223615705967,60000,0.5914565354585648,0.6293630093336106,0.026343602037429834,40.71501922607422,68.90233632130548,0.9921366,134.7939197540283,0.0001490720169385895,0.6093733,0.006314979742490691,78.53513993322849,0.3,1.0184431105852128,53.68383436203003,0.0010900552749633944,28.465285571292043
509.6170691467304,0.0193415770733264,0.18106613718196699,122.62842,0.9180467933416366,80000,0.5934318780899048,0.6293642863631248,0.02568516215085988,39.51053237915039,68.54516043383629,1.0029967,158.3430618286133,9.921353193931282e-05,0.6120895,0.006063371202582499,78.06704323738813,0.4,1.0417445242404937,57.396756172180176,0.0010846214532852017,31.09404956921935
495.60701660003446,0.016532805056590466,0.17332263894230002,141.67886,0.9264201536774636,100000,0.5962657287716866,0.6287555694580078,0.026186980843544067,40.04205322265625,69.62080522109754,1.020404,222.22351608276367,7.138137880247086e-05,0.61271465,0.005914696648856636,77.7233187109232,0.5,1.0856163591146468,61.31863269805908,0.001095167386531834,35.86546014994383
479.87384607543635,0.023658876114524722,0.17220210466385003,162.1558,0.933768755197525,120000,0.597885149717331,0.6284746810793876,0.026331929910182884,40.015960693359375,70.30600302327424,1.0357931,262.1388145446777,0.00013495143502950668,0.6144236,0.005753618699754546,77.48661935329437,0.6,1.1076616138219832,66.36119537353515,0.0010951795339584195,38.958464842289686
475.74711443481306,0.025250109532219463,0.17767245680391922,190.7665,0.9409954711794853,140000,0.5987519815564155,0.6395910188555717,0.025950050234794707,41.261268615722656,70.80417324400817,1.0524642,382.5469230651855,6.670717993983999e-05,0.6174563,0.005710143704526144,77.40185298025608,0.7,1.1524181604385375,69.9696605682373,0.001088373184204104,41.898774448782206
456.83365073242305,0.03437593134690514,0.17145893622338576,223.85442,0.9457464173436165,160000,0.5993285104632378,0.649741867184639,0.026395961546897904,43.08169937133789,71.02157052917671,1.068918,449.1183990478515,5.739758489653468e-05,0.6212098,0.0055951601473381764,77.3071963340044,0.8,1.1763339042663574,73.71040382385254,0.00110561511516571,45.32694574445486
444.3503313125591,0.03414012620984607,0.15814580463543626,258.6535,0.9486537873744965,180000,0.5997051373124123,0.6491905525326729,0.02625185595750832,44.168392181396484,70.86613781575579,1.0838182,523.6581939697265,4.817283115698956e-05,0.6225842,0.005492195790912973,77.21174508333206,0.9,1.1938451886177064,76.98122348785401,0.0011030909061431858,49.611619021743536
441.52589049529865,0.022708432580670485,0.1560110911384213,289.37186,0.9511073127388954,200000,0.6000511273741722,0.6486579909920692,0.025757596743106813,44.07920455932617,70.99612610089696,1.0961083,552.1250198364257,3.21323168464005e-05,0.62452424,0.0054160577714443036,77.11529154330492,1.0,1.1993575245141983,79.08107929229736,0.0010892778038978546,54.246874153614044
