eval/M_mean,eval/M_high,eval/sd_low,eval/R_high,eval/M_low,eval/D_high,train/pde_loss,eval/R_mean,train/epoch,eval/D_low,eval/D_mean,eval/ci_range,train/sol_loss,train/progress,eval/R_low,train/theta_loss,train/gls_loss,train/time,train/mse,train/callback_time,eval/sd_mean,eval/sd_high
1.2927691,1.316309040784836,9.658627933822572,0.7733308523893356,1.2521335929632187,1.6415746212005615,0.7631502619273921,0.7042927,2000,1.1904866993427277,1.512089,214.68165588378906,3.7985489060282687,0.01,0.4037819840013981,0.19321809709072113,1497.3264481353765,0.02331777036190039,0.004394334275275469,0.0010164797306060817,36.237095969729125,153.89929711818675
1.2540481,1.3121780395507812,6.0639352654106915,0.7758998662233353,1.163264384865761,1.7747161597013474,0.06156586889736355,0.77384555,4000,1.6484300434589385,1.707417,13.730039596557617,0.7699597824513924,0.02,0.7702920868992805,0.0792921632528305,408.69807278442437,0.02238740897178643,0.003847063286229968,0.000974439859390255,7.484367288649082,9.287466341629624
0.9080897,1.1465859681367874,4.079876118339598,0.7737597435712814,0.7801847845315933,2.043081504106522,0.0781041533164683,0.7704263,6000,1.7841902107000351,1.9140745,18.72600555419922,0.6627136040329934,0.03,0.7676301017403603,0.041954245418310165,346.67719116210986,0.022623361587524433,0.0031928149983286858,0.0009712934494018564,4.9300296334549785,5.930270708631724
0.7670242,0.7795165300369262,3.101274970686063,0.7737794101238251,0.7475383788347244,2.339531236886978,0.08180138569883981,0.76798904,8000,2.0536780297756194,2.1890888,18.999340057373047,0.571529210418464,0.04,0.7638869598507881,0.025234879925847054,294.6941011352548,0.022658905386924694,0.0028827106580138206,0.0009714591503143309,3.5230724023422226,4.027324460912496
0.716703,0.7447231739759445,2.6335214788559824,0.8028649434447288,0.6950309842824935,2.8607433795928956,0.08707168878428645,0.78517133,10000,2.355689513683319,2.5808403,28.36998748779297,0.5125770959556121,0.05,0.7681179136037827,0.017038749530911446,261.59049723052897,0.022690361857414226,0.002641149563714862,0.0009782595634460463,2.828292840742506,3.0682362557854503
0.69049793,0.694724616408348,2.4944793665781617,0.8361001059412956,0.6875898867845536,3.5851657569408415,0.07218784082867201,0.8220761,12000,2.8962867975234987,3.2393594,32.583160400390625,0.4540152690261597,0.06,0.8054694265127182,0.011707860976457596,232.48779536438028,0.022630730628967217,0.00227442872710526,0.0009799921512603734,2.5710762288654223,2.6713132567238063
0.7067771,0.7214153438806534,2.586412220261991,0.8403672784566879,0.6935851871967316,4.557093942165375,0.07041367889475109,0.8351277,14000,3.5657448053359984,4.048473,38.44475173950195,0.44021015876531594,0.07,0.826457342505455,0.16275808215141296,226.15361429595987,0.022736905813217145,0.0027914755046367645,0.0009776027202606213,2.7945338028948754,2.995912538608536
0.73603517,0.7501070916652679,2.997729752678424,0.8400268778204918,0.7219291344285012,5.839706993103027,0.08574596557021151,0.8327074,16000,4.6153761625289915,5.2093797,47.35847473144531,0.4536018048077811,0.08,0.8220124617218971,0.012355663813650608,230.40594485473676,0.022808731913566648,0.0024168607778847218,0.0009749121665954609,3.313810710213147,3.675868024583906
0.7625891,0.7752399712800979,3.6982983467169106,0.8400553107261658,0.749737223982811,7.41396154165268,0.09535807267390214,0.8313756,18000,5.914143371582031,6.648348,49.910892486572266,0.45941170163452627,0.09,0.8211484149098396,0.010028703138232231,230.81611571502674,0.022672025084495506,0.002246628049761057,0.0009765554666519163,4.1714348221430555,4.748497460968792
0.78377736,0.7936417296528816,4.826196632348001,0.840624774992466,0.7732428282499313,8.907780694961547,0.09786897150147683,0.8312483,20000,7.489170515537262,8.213168,54.26792907714844,0.45613978350162554,0.1,0.8189167007803917,0.002788461511954665,228.75803238678017,0.02259946739673613,0.0026057406794279814,0.0009795780181884766,5.82975141890347,7.090798602439463
