train/epoch,eval/sd_mean,eval/R_mean,eval/R_high,eval/D_mean,eval/D_high,eval/D_low,train/time,train/theta_loss,eval/R_low,train/mse,train/progress,eval/sd_high,train/gls_loss,train/callback_time,train/sol_loss,eval/sd_low,eval/ci_range,train/pde_loss
2000,34.56551713356748,0.5963711,1.2219279408454893,0.17602246,1.008178398013115,0.016329570719972254,0.023187510609626715,0.09002161771059036,0.430970323830843,0.005782304797321558,0.01,173.12327399849866,1909.981860916131,0.0010274374485015867,5.547524186432351,7.965167867951095,335.2984619140625,74.70325144243255
4000,5.351433927426115,0.52151734,0.5367136031389237,0.0177351,0.02060977621003985,0.016298825573176145,0.021494922637939545,0.039112213999032974,0.5102828323841095,0.0046965996734797955,0.02,7.632825430482626,448.6477197265618,0.0009653239250183102,0.9982878003716446,4.046858160290867,59.72492218017578,2.2351610303819065
6000,3.3176936270901933,0.5078235,0.5326258972287178,0.021822063,0.023676819633692503,0.018527126451954246,0.0216904703378677,0.025794634595513344,0.4972595199942589,0.005476460792124271,0.03,3.956723213195801,339.60242552948023,0.0009714031219482402,0.7568216589242205,2.8482849069405347,97.51435852050781,0.894057726942003
8000,3.114680652623065,0.5400101,0.5447395250201226,0.017401982,0.018326938012614844,0.016671541193500162,0.021641986250877394,0.02048451080918312,0.533348859846592,0.0024264848325401545,0.04,3.50823751068674,224.3203745346065,0.0009712817668914782,0.48727441209554606,2.858740632655099,77.48404693603516,0.5478835525438199
10000,3.772165091126226,0.5263885,0.5388866484165191,0.015997574,0.01675427039153874,0.015093775535933673,0.021574051022529534,0.008557671681046486,0.5150426894426345,0.0030529566574841738,0.05,4.149009892717003,229.3843572616577,0.0009707677364349356,0.5130079730749109,3.3964153670240194,88.4629135131836,0.5070198220629246
12000,4.594164860667661,0.5090433,0.515139839053154,0.014507973,0.015227583260275422,0.014003116125240921,0.02160405743122097,0.014211980625987053,0.5030045703053474,0.003717811079695821,0.06,4.946664127055556,241.72567971801783,0.0009725549221038807,0.5575768000334498,4.214985226280987,97.1224365234375,0.5531881000679006
14000,5.029138826532289,0.49829048,0.5067319273948669,0.013697367,0.014205450797453523,0.01307709540706128,0.021903739690780695,0.030356688424944878,0.48334764689207077,0.002631652867421508,0.07,5.244667537044734,241.82853883361864,0.0009820728302001958,0.5592043849229836,4.86876773647964,100.49559783935547,0.5659396933242667
16000,4.9750816251616925,0.46094933,0.4858935557305813,0.012440195,0.013356974604539572,0.01167668851558119,0.021791140556335516,0.006502356380224228,0.4325251206755638,0.002782826079055667,0.08,5.262773670256138,234.00712160491952,0.0009737547636032096,0.5426316163837906,4.80449665337801,99.5880355834961,0.45422018349729415
18000,4.823196861892939,0.40678605,0.42972929924726483,0.011193417,0.011934660188853741,0.010652954853139818,0.02179438734054558,0.004586874507367611,0.38897148668766024,0.0020004091784358025,0.09,5.130808684043586,225.6203166809086,0.0009758516550064088,0.5284435766786345,4.613261879421771,97.12743377685547,0.32075110219512193
20000,4.698910611914471,0.37686846,0.3934642858803272,0.010433216,0.011639751121401786,0.009895730763673782,0.02180050718784337,0.003442771965637803,0.3616627886891365,0.003298243274912238,0.1,5.285525799263268,228.9188952407838,0.000976954817771912,0.5372063092589381,4.507338255643845,101.45315551757812,0.27625672380998767
22000,3.86398975586053,0.3493611,0.3612190015614033,0.00913204,0.01010274072177708,0.008460770663805305,0.021810715079307513,0.0008090964402072132,0.3411075726151466,0.0017178993439301848,0.11,4.529462137725204,167.82496283721918,0.0009808521270751977,0.37240910404920513,3.3672886376734823,60.894798278808594,0.12190874431375442
24000,3.4611790335620753,0.3430043,0.35947538018226627,0.008564606,0.009938903036527336,0.0075985714909620585,0.02171095049381257,0.0006199941853992641,0.3339457467198372,0.002026476664468646,0.12,4.471382952760905,146.33789847564762,0.0009709858894348148,0.3198671553432941,2.8199729742482305,53.07303237915039,0.07043825572449723
26000,3.1714037571412823,0.3393203,0.35864674076437947,0.008117663,0.009824349614791571,0.006956510792952031,0.02157923877239226,0.000982895726338029,0.3303436778485775,0.0015896110562607646,0.13,4.41699594957754,137.89332109832787,0.0009753099679946887,0.3025059972852467,2.438550384249538,48.8108024597168,0.05509905810933567
28000,2.9627828950469848,0.33665094,0.3575137332081795,0.0077534458,0.00978204917628318,0.00643910972867161,0.021414510130882292,0.0008341690991073847,0.3269153155386448,0.0018082301830872893,0.14,4.387932678218931,131.71530646514898,0.0009859901666641228,0.2880874583274133,2.2871295048389584,46.1160774230957,0.04592395311919987
30000,2.8211202456150204,0.3343188,0.3565884426236153,0.0074333036,0.0097138705663383,0.005960744840558618,0.021503691434860264,0.0003425244940444827,0.3235588245093822,0.001427095616236329,0.15,4.348865256179124,126.8781353874208,0.0009821730852127095,0.2775162239819764,2.233082480961457,43.86112594604492,0.040002017299877526
32000,2.7184318935420984,0.33203897,0.35631145909428596,0.007140655,0.009678816050291061,0.0054938611225225035,0.021407424688339182,0.0004367423534858972,0.31887495443224906,0.0014072605408728123,0.16,4.3155133607797325,122.54417272567753,0.000977846026420588,0.26897042486071615,2.1758397691883147,42.1402473449707,0.03822924679773856
