eval/M_high,train/gls_loss,train/theta_loss,train/sol_loss,eval/D_low,eval/D_mean,eval/M_mean,train/pde_loss,eval/R_mean,eval/R_high,eval/M_low,eval/R_low,train/progress,train/mse,train/callback_time,eval/sd_low,eval/D_high,train/time,eval/sd_high,eval/ci_range,eval/sd_mean,train/epoch
0.8055563062429428,2386.476469024658,0.1327604353427887,6.550713661789892,1.0633117735385895,1.3192666,0.5409837,1.3120372472852395,0.54278684,0.5988548263907433,0.47200995981693267,0.3892635226249695,0.01,0.011648949235677719,0.0010428835153579777,13.707039155997336,1.5447952300310135,0.025114163994789173,181.10892549157117,270.8919677734375,43.140402749646455,2000
0.5557984128594399,721.1112739257808,0.060147061944007874,1.5901905279755615,1.5794116973876953,2.1333203,0.5241456,0.23318994856253303,0.62306654,0.6402238607406616,0.5003016650676727,0.5996257930994033,0.02,0.007222153712064028,0.0009577239751815801,8.13194157090038,2.8294113874435425,0.024110579133033796,13.396217045374213,50.594730377197266,10.280425996053964,4000
0.6226166501641274,533.8754003753655,0.03887355327606201,1.1976768211722328,2.9122578382492064,3.7135332,0.59289634,0.19869585721567298,0.6018388,0.6381188154220581,0.559448504447937,0.5695388972759247,0.03,0.0056887660175561905,0.0009581688642501837,6.111248512752354,4.493750178813935,0.024140622138977046,8.02342789247632,42.624290466308594,6.975897640455514,6000
0.663776284456253,458.27485287475685,0.016902567818760872,1.024895888298753,4.576730167865753,5.350678,0.6448537,0.20926560857146986,0.55394375,0.5676907151937485,0.6243122860789299,0.5421110585331916,0.04,0.0050439294427633286,0.0009592497348785397,4.862934479024261,6.125071728229523,0.024205739855766257,6.033336848486215,43.8685417175293,5.40174584207125,8000
0.7038584604859351,413.6203686218263,0.012177767232060432,0.9232446359693978,6.226286709308624,7.165207,0.6847412,0.21962562723644002,0.52504325,0.5407783299684524,0.6636743456125259,0.5111790478229523,0.05,0.004508309066295624,0.0009588524103164695,4.408585489727557,7.994506084918975,0.02423241126537319,4.802909295540303,51.970096588134766,4.548099707113579,10000
0.7195907309651375,396.681696823121,0.006523794028908014,0.8838737074732803,8.032198095321656,8.279535,0.71041524,0.264241973575205,0.4998509,0.5104986876249313,0.7012263461947441,0.48873910009860994,0.06,0.004521026276051998,0.0009591358900070195,4.470829828642309,8.408901739120484,0.02428535056114198,5.015190038830042,64.12593841552734,4.7072271660435945,12000
0.7178457409143448,382.5257206115724,0.00409113522619009,0.8485340051949035,6.864029991626739,7.5954657,0.70841783,0.32214585383795197,0.4794115,0.4891386866569519,0.6976664319634438,0.46798028498888017,0.07,0.004000090528279543,0.0009672201871871962,5.034336308017373,8.195805287361145,0.024313582301139874,6.402122171130031,76.89498138427734,5.633493857458234,14000
0.7019694462418556,358.5506569671637,0.007964322343468666,0.7881724879145593,5.639591252803802,6.1817274,0.69055337,0.31756735321134294,0.47174242,0.4786204598844051,0.6791005805134773,0.4622972413897514,0.08,0.004290340468287468,0.0009610384702682478,6.449284823611379,6.8256388902664185,0.024368175625801076,8.36845557205379,77.04317474365234,7.496833479730412,16000
0.6835290595889092,346.0773657073974,0.0023008028510957956,0.7592134293019787,4.510980939865112,5.045165,0.67115366,0.3249994479417792,0.46359155,0.4723929725587368,0.6578168377280236,0.45232997089624405,0.09,0.004544774070382118,0.000963624119758605,8.280086563900113,5.564680290222168,0.024359793424606292,10.005289339460433,78.87272644042969,8.955790902022272,18000
0.6610237956047058,336.3650230712895,0.007862022146582603,0.7155968072712431,3.547472608089447,3.9964163,0.6464711,0.31403045146726094,0.45293763,0.4640564419329166,0.6323685720562935,0.43981869146227837,0.1,0.0034223233815282583,0.000962972640991212,10.019613220356405,4.477690136432647,0.02445033216476438,15.365781029686332,80.31604766845703,12.54376075649634,20000
0.6342675283551216,283.30388474273605,0.0012243754463270307,0.5806520801186545,2.8986752927303314,3.1806767,0.62246716,0.1816696068774911,0.43609494,0.4464146375656128,0.6113793969154357,0.4241153933107853,0.11,0.0032015619799494743,0.0009534602165222162,15.462772897444665,3.5089851796627043,0.024570387125015265,16.171989776194096,59.2160758972168,15.788347985129803,22000
