eval/R_mean,eval/sd_low,train/sol_loss,train/progress,train/time,eval/D_high,eval/ci_range,eval/sd_mean,eval/sd_high,train/pde_loss,train/mse,train/gls_loss,train/epoch,eval/R_low,eval/R_high,train/callback_time,eval/D_low,train/theta_loss,eval/D_mean
0.55360144,7.466555119026452,2.444230101330625,0.1,0.020235355198383247,0.10420205518603202,163.505615234375,37.76351409319322,118.42860653996466,7.066509691456378,0.015077682337746964,1175.066614535525,20000,0.48530701696872713,0.5640251412987709,0.0010097069144248904,0.027206978667527436,0.0024459720589220524,0.05046025
0.53243536,118.27354673296213,0.1815073017671688,0.2,0.019917333471775024,0.03997406531125307,50.07451629638672,124.91563800871373,130.79584017395973,0.009350175604329037,0.01672856078930196,1347.2691091491852,40000,0.5185044273734093,0.5521496221423149,0.0009805300474166959,0.035499772522598505,0.00020287552615627646,0.037932947
0.54225266,113.5350352153182,0.18447574890106871,0.3,0.02023624813556659,0.04065580694004893,67.17289733886719,121.86092771105469,130.11295273900032,0.01320164364145614,0.014982571657653897,1213.9130903015136,60000,0.5209684059023857,0.5626636639237403,0.0009995492219924908,0.035780752450227736,0.00011951607302762568,0.03882813
0.54443264,106.71506747603416,0.18693269945457539,0.4,0.02014270316362388,0.04059459706768394,73.34123229980469,117.5253484338522,129.4220209121704,0.018879772040317773,0.01442245356636112,1174.0373071594217,80000,0.5217336371541024,0.5663031935691833,0.0009912473917007328,0.03590556168928742,7.891092536738142e-05,0.038621966
0.54027265,106.88887946307659,0.1644809654615824,0.5,0.019488612639904004,0.04054934838786721,77.27154541015625,116.98507787957787,129.1499763727188,0.010209708779526297,0.014218711651023487,1146.8314993774425,100000,0.5218509212136269,0.5653324380517006,0.0009561585664749187,0.03505650237202644,5.616941416519694e-05,0.038029652
0.53963935,107.06846360117197,0.16666256977468505,0.6,0.01958446358442302,0.04049065429717302,76.99608612060547,117.42400868713855,128.9132997393608,0.005215775625675473,0.014101474104728527,1137.8354046874995,120000,0.5222230538725853,0.5647784039378166,0.0009597898125648541,0.0351351210847497,0.00013302529987413436,0.038057294
0.54154134,107.20214582979679,0.1846142535477864,0.7,0.019686466205120195,0.04044026890769601,77.17276763916016,117.90998817893366,128.66255715489388,0.0071727660005097785,0.01419508037096816,1133.3053902649015,140000,0.5226493924856186,0.5665252462029458,0.0009643895030021672,0.03525454690679908,5.182548557058908e-05,0.03809724
0.5455691,107.3539286851883,0.16932880052924007,0.8,0.01973576736450206,0.04039690047502518,80.22321319580078,118.97533353833215,128.59879843890667,0.00520783798871566,0.01406638468573805,1092.0690447753989,160000,0.523050232231617,0.5766627803444863,0.0009686629652976982,0.03530689999461174,3.9197271689772606e-05,0.0378676
0.5471346,107.50297009944916,0.16049867942445126,0.9,0.019958034598827615,0.040354062151163814,82.01081085205078,119.35747214825824,128.4718431532383,0.01125114273257775,0.013736615399224814,1068.8178568176295,180000,0.5233561187982559,0.5758951887488365,0.0009756242156028785,0.03535566041246056,3.277208088547923e-05,0.037751973
0.54894155,107.68127795308828,0.16399798804447302,1.0,0.019884331429004847,0.040321231540292504,82.19989776611328,119.49755351754526,128.36464531719685,0.009584322458982995,0.013286516400612937,1040.277182528673,200000,0.5236666679382325,0.5753287836909294,0.0009766831636428997,0.03540680920705199,3.306061262264848e-05,0.037841793
