train/progress,eval/M_mean,eval/R_high,eval/R_mean,train/callback_time,train/mse,train/gls_loss,eval/D_mean,eval/sd_low,eval/sd_high,eval/ci_range,train/epoch,eval/sd_mean,train/pde_loss,eval/D_low,eval/D_high,eval/R_low,eval/M_high,train/time,eval/M_low,train/sol_loss,train/theta_loss
0.1,0.7173179,0.5825478792190552,0.56868505,0.001021280860900876,0.010990769423986853,849.7495329345658,12.099333,6.865053228102624,70.11320032179356,124.93698120117188,20000,21.427084146183915,3.886560822680223,1.2984123796224594,20.35550808906555,0.41705559864640235,1.003246814012527,0.021209834122657527,0.5077291041612625,2.0470229768335884,0.001146205933764577
0.2,0.70522046,0.5581729575991631,0.54299533,0.0010060812711715713,0.01135747220576744,921.4881077514644,11.246566,83.15236289054155,106.92397579550743,45.539756774902344,40000,100.69198886156082,0.02854995468787393,8.755836129188538,14.907684540748594,0.5283694744110108,0.7396197646856308,0.021186692273616824,0.6756792485713958,0.22041469788551454,0.00015344528947025537
0.3,0.71453655,0.5575216680765152,0.5454265,0.0010244668960571388,0.010775032431213282,874.5076880737334,12.393951,85.693453066051,106.51806872338057,53.01088333129883,60000,99.73110530395061,0.018115508218272507,8.845400881767272,14.8223566532135,0.5298944965004921,0.7377734243869781,0.021523565959930477,0.6762815028429031,0.17523214736357448,0.00012084582704119384
0.4,0.7147483,0.5661929279565812,0.54895234,0.0010000484943390004,0.010419184785662144,840.8070620819174,12.361748,90.26265870779753,106.21363520622253,54.103179931640625,80000,97.51536402056614,0.014929985647671649,8.881238436698913,14.784152030944824,0.5320368096232414,0.737748683989048,0.02114415404796626,0.6766726300120354,0.1832308902829891,8.083817374426872e-05
0.5,0.72420055,0.5652467161417007,0.5500519,0.0009849602341652042,0.01019736886299228,816.3683988250676,13.201001,91.23113825917244,106.00987281650305,54.747135162353516,100000,97.64609602177515,0.012338320994307263,8.897082614898682,18.53899884223938,0.5332758858799934,0.7721464857459068,0.02085386816263205,0.6776417225599289,0.16720874573290223,0.00015731262101326138
0.6,0.7362227,0.566154246032238,0.5521162,0.0009896326661110037,0.009757774673448884,783.9316251678433,14.650205,91.46472383290529,105.8634651824832,54.234344482421875,120000,97.33799524478614,0.018327483637537945,8.913703918457031,21.460251235961913,0.5343491703271865,0.7911201298236847,0.020977090835571338,0.6791048243641853,0.16860537460222805,0.00012423211592249572
0.7,0.74707574,0.5779879197478295,0.5553151,0.0009935297727584815,0.00978874540249812,786.7280423675545,16.104507,91.65313728153706,105.74191138148308,54.844181060791016,140000,97.45490251320103,0.01597408193565201,8.935379910469056,28.47581090927124,0.5350959286093712,0.8276162222027779,0.021041156208515165,0.6801331177353859,0.18529704829826818,6.982906052144244e-05
0.8,0.7622305,0.5882418781518937,0.55915767,0.0009995571255683945,0.009708803899353443,765.8451818298419,18.582424,91.80362299084663,105.64119927585125,57.825538635253906,160000,97.82794418287064,0.027799754873663284,8.965394330024719,35.16819438934326,0.535532046854496,0.8598228558897972,0.021190909981727696,0.680925714969635,0.16856108457222532,5.093100116937421e-05
0.9,0.7739891,0.5877090319991112,0.56059146,0.0010090020775795072,0.009567476693959832,751.7359564941368,20.585567,91.91470220685005,105.50426933914423,59.57158279418945,180000,97.86284733107314,0.02562642617656384,9.019621801376342,35.863236045837404,0.5359367996454238,0.8629698202013969,0.02131338263750073,0.6817924574017524,0.15985797103941368,4.646344677894376e-05
1.0,0.78029907,0.5871667921543121,0.5626171,0.0010128479003906228,0.009312383961351577,735.6403616363563,21.579342,91.99782405048609,105.43035231530666,59.64315414428711,200000,98.05458960495889,0.014542430681968001,9.071864318847656,35.78415050506592,0.536306132376194,0.8625770926475524,0.02146374075412752,0.6830621063709259,0.16098281182087917,2.7578789740800858e-05
