eval/R_high,train/theta_loss,eval/R_mean,eval/sd_high,train/callback_time,eval/D_low,eval/D_high,train/epoch,eval/D_mean,eval/ci_range,train/pde_loss,train/time,train/progress,eval/sd_mean,train/mse,eval/R_low,eval/sd_low,train/gls_loss,train/sol_loss
0.9038690015673636,0.20033152401447296,0.70031667,175.3037165850398,0.0010645767450332669,0.011723622935824097,0.8331378504633902,2000,0.17703703,256.3474426269531,29.101037331223484,0.024345417737960822,0.01,35.458080309210345,0.002763559576123953,0.4531436450779438,6.528568908106536,1564.737387100215,4.3037352438270835
0.825521545112133,0.07589048147201538,0.8079948,6.176843645516782,0.0009776921272277826,0.004390310239978134,0.010738554829731581,4000,0.0066826018,21.35065460205078,0.8036232392489908,0.02344154429435727,0.02,4.40704583527986,0.0017272174591198564,0.795489726960659,3.1308548583183438,224.7320696716311,0.4184889009594907
0.8041367158293724,0.038714244961738586,0.7955985,3.051226364914328,0.0009837071895599373,0.0039256180287338795,0.004279906779993325,6000,0.004028923,23.153974533081055,0.2196267905272548,0.023595780253410293,0.03,2.755200751591474,0.001646186225116253,0.7906233310699463,2.603051596088335,166.2907054290769,0.3044242701381447
0.840799868106842,0.06280688941478729,0.81964666,2.6015046692918986,0.000983226895332334,0.003405262698652223,0.003917359025217592,8000,0.0036514488,28.414552688598633,0.20783742990903545,0.02357936930656438,0.04,2.5297674966277555,0.0014258407754823565,0.8046519428491592,2.474133501527831,152.24397180175805,0.28400362791121025
0.8590584695339203,0.01387562695890665,0.8522774,2.8365355159621686,0.0009895684719085686,0.0030480555258691313,0.0035785912012215697,10000,0.00329582,36.538597106933594,0.21417494410835217,0.02364982426166533,0.05,2.6866538306931034,0.001627785270102322,0.8418430775403977,2.5677841273136437,143.19803936767588,0.27200337016582504
0.8583037093281746,0.015126936137676239,0.8494503,3.266272379551083,0.0009847762584686303,0.0028891580121126028,0.003374952671583742,12000,0.0030232691,45.35771179199219,0.22909696850925704,0.023683344841003373,0.06,2.9790691134985536,0.001793842064216733,0.8397416546940804,2.718113816808909,142.1271962127689,0.27784932062029793
0.8429181337356567,0.011702981777489185,0.8281624,3.996460069902241,0.0009858011007308934,0.0028898487275000662,0.0033812998270150267,14000,0.0030757065,56.00106430053711,0.26372666519973387,0.023799578785896273,0.07,3.473502813023515,0.004112560767680407,0.8142534986138343,3.103754302719608,151.43621157455436,0.30641046617180046
0.8191711500287056,0.008448122069239616,0.805553,4.603313689585775,0.000981871128082277,0.003200966224540025,0.003429343330208212,16000,0.0033087167,63.50786590576172,0.30245635065808835,0.023667307972908013,0.08,4.241078573279083,0.004718839190900326,0.7931820526719093,3.9102089474909008,169.02380995178163,0.34668457537144265
0.8018311887979508,0.006543735042214394,0.78872263,5.329215317033229,0.0009907718896865838,0.0033331362588796764,0.003693259885767475,18000,0.0034445992,67.32469940185547,0.31461254699807756,0.023778637528419497,0.09,4.908462637569755,0.002038781763985753,0.774757806956768,4.579152120277286,181.52496962737976,0.37133539286255834
0.7868173807859421,0.004593378398567438,0.7743562,5.528368044178931,0.0009865130186080897,0.0033733869844581933,0.003712591365911063,20000,0.003489123,71.11151885986328,0.31787949587683995,0.023654432415962257,0.1,5.167004019487649,0.0023228696081787348,0.7566117972135544,5.005511606577784,186.8455073165889,0.3830986563861364
0.7930500254034996,0.0011285500368103385,0.78103715,5.02304999390617,0.000985131144523624,0.002822662953985855,0.0034976355324033647,22000,0.0030480847,54.44333267211914,0.16617722964938697,0.023733941555023265,0.11,4.0497333246748894,0.001676598796620965,0.7613297760486603,3.3756955235730857,149.22736956787102,0.304557415075601
