train/mse,eval/ci_range,eval/M_mean,eval/D_high,train/time,train/gls_loss,eval/R_mean,eval/sd_mean,eval/M_low,train/theta_loss,train/sol_loss,train/callback_time,train/epoch,eval/D_mean,eval/D_low,eval/sd_low,train/pde_loss,eval/M_high,train/progress,eval/R_low,eval/R_high,eval/sd_high
0.006867845077067614,306.21990966796875,0.9101288,1.3702696919441224,0.02378949368000034,2075.0864488220377,0.59858376,36.73339430941269,0.7530063182115555,0.1783658117055893,5.072661689221868,0.0010093744993209842,2000,1.2605066,1.1091294437646866,11.726279556751251,0.8858136992491773,1.176066306233406,0.01,0.4193181097507477,0.6373241454362869,187.72292025387256
0.004707156680524349,41.39664840698242,0.73516786,1.4531242847442627,0.02260886299610146,552.1515798797604,0.63269895,9.270847386680543,0.7129042252898217,0.07017394155263901,1.0740703235566629,0.0010044642686843866,4000,1.4298621,1.3797195464372636,7.310751092154533,0.17267694736644623,0.7519754245877266,0.02,0.6285565137863159,0.6348133131861686,11.420067958533764
0.0033448785543441772,42.837039947509766,0.72445863,1.4609651535749435,0.023076319694519037,379.1051543884274,0.62297,5.871026212582365,0.7134943410754204,0.04419924318790436,0.7218873639702802,0.0010109884738922156,6000,1.4537398,1.4474560290575027,5.083213874604553,0.17058980674110366,0.7383179262280464,0.03,0.6150188416242599,0.6331775531172752,7.175724662374704
0.0034847327042371035,40.563907623291016,0.74192923,1.4460780560970306,0.023085003376007062,306.46110656738256,0.61538684,4.873550831107423,0.737996582686901,0.05980793759226799,0.5729304288625694,0.0009790443181991546,8000,1.4285537,1.4185003727674483,4.658844484947622,0.2011446825750171,0.7466445326805115,0.04,0.6106422781944275,0.618685382604599,5.096217850223184
0.002661510370671749,45.76664733886719,0.74457103,1.4184604346752168,0.02306916391849526,279.40070719146826,0.6182824,5.025510770035908,0.738473616540432,0.016225449740886688,0.527276680767533,0.000977645516395566,10000,1.3985556,1.3754903763532638,4.5931114931590855,0.2001795463953163,0.7495935082435607,0.05,0.611682178080082,0.6251839846372604,6.0286457533948115
0.002859091153368354,54.49006271362305,0.7502875,1.3834953904151917,0.022957766056060754,265.85867977142317,0.63501525,6.210956820985302,0.7438323974609375,0.03917551040649414,0.5012829701006406,0.0009772207736968986,12000,1.3741565,1.3649089992046357,5.379536270629615,0.21113905059546192,0.7576559901237487,0.06,0.6214669689536094,0.6526310160756111,7.007681031245738
0.0027982357423752546,60.118019104003906,0.76062,1.3694349110126496,0.023082039594650328,258.2847459106444,0.66190535,7.904430045746267,0.754831263422966,0.015698619186878204,0.4982478348910807,0.0009829281568527175,14000,1.3630933,1.3569681137800216,7.032607030123472,0.22695922490395617,0.7648273408412933,0.07,0.6512947872281074,0.671168027818203,8.701691473834217
0.0026423772796988487,64.80570983886719,0.76557773,1.3591078460216521,0.022612839460372906,259.21039474487344,0.6713547,9.519061360973865,0.7614063352346421,0.0034089975524693727,0.5042094011306757,0.0009821926355361894,16000,1.3524305,1.3454630613327025,8.704201923683286,0.23965687758102963,0.7689856573939323,0.08,0.6634804114699364,0.6790478825569153,10.262073180638254
0.005115679930895567,68.15098571777344,0.76706445,1.3453736752271652,0.02275002002716067,262.4935096054077,0.6783015,11.479593254160136,0.7624036684632302,0.028542008250951767,0.5055021619796745,0.0009806712865829516,18000,1.3332701,1.3177372336387634,10.259828600101173,0.2524494233801954,0.7702326834201813,0.09,0.6702092483639717,0.6872863501310349,12.534609343856573
0.0038506893906742334,71.17013549804688,0.7667129,1.3169880211353302,0.02262609434127809,265.99411305236777,0.68449634,12.335930625442415,0.7625315621495247,0.0016981266671791673,0.5143719108998777,0.0009790078401565542,20000,1.3008341,1.284990632534027,11.994535196572542,0.2707150975763795,0.7704067036509514,0.1,0.6761820763349533,0.6950513020157814,12.724604830145836
