train/progress,train/sol_loss,eval/D_mean,eval/M_mean,train/time,eval/M_low,eval/R_high,eval/sd_high,eval/sd_mean,train/mse,train/callback_time,eval/R_mean,eval/D_high,train/gls_loss,eval/D_low,train/epoch,train/theta_loss,train/pde_loss,eval/R_low,eval/sd_low,eval/ci_range,eval/M_high
0.1,2.3452085589200324,0.81508523,1.7023085,0.022855969023704566,0.5003186658024787,0.6413671225309372,46.032613981515155,15.285277316742576,0.012233601850015147,0.0011075150609016467,0.5397419,2.9060046792030287,1116.7794582366948,0.6707684904336929,20000,0.0021649536211043596,2.77348256797733,0.5137479797005653,4.320728743914515,128.02896118164062,2.0203872621059418
0.2,0.27109410566911096,28.567331,0.8411411,0.023041887998580698,0.6685685455799103,0.6561189591884613,78.15301008522509,71.08258526716381,0.007043651416990908,0.0010937579751014873,0.6437949,43.57556886672974,578.2269135345399,6.464560508728027,40000,0.00027482351288199425,0.03144119743793345,0.6243110164999962,51.215595845133066,41.8383903503418,0.896121783554554
0.3,0.16267389137148902,43.46016,0.8863091,0.023322726452350704,0.7049979597330094,0.6552597388625145,81.65445309132338,74.04073975654319,0.006708581987465818,0.001110382556915292,0.64161366,66.30658721923828,548.4518730987635,8.722282075881958,60000,0.00015472712402697653,0.013395135598070899,0.6255705341696739,54.69034882262349,44.08187484741211,0.9483646556735039
0.4,0.17707823959440028,49.528374,0.90062964,0.02322074699401854,0.7332291796803474,0.6616607010364532,81.89745973795652,74.56255881705631,0.006274362846184577,0.0011107862949371321,0.64600194,66.92145614624023,509.7049780609101,10.95087444782257,80000,0.000561172841116786,0.027854151258431468,0.6269402951002121,55.62278935685754,46.570838928222656,0.947857828438282
0.5,0.16817875312641117,52.9525,0.9081329,0.022733567106723886,0.7562710717320442,0.6615158379077911,81.70011322945356,73.53288061521016,0.005935319744399747,0.0010852704882621787,0.6458468,73.78008708953857,479.36061746520716,13.020440006256104,100000,0.00018621415074449033,0.021932370814681277,0.6277066215872764,58.87201298028231,47.65509033203125,0.9562121838331222
0.6,0.16702931596413137,61.453396,0.9241329,0.022378720390796563,0.7737072736024857,0.6610734760761261,81.29177466034888,72.95399391967803,0.005865549473976749,0.001063110411167154,0.64338243,105.36707820892335,476.8989936492893,14.776571869850162,120000,0.0001030574640026316,0.01936319857644829,0.6271543458104134,62.18731813132763,47.79103469848633,1.0006311148405076
0.7,0.15714755230248195,78.00671,0.9459669,0.02261036219596858,0.7890638187527657,0.6607179254293442,80.61618208885191,72.75259638568386,0.005838783467770514,0.001073390054702755,0.63991356,183.33301010131837,482.7222225173975,16.531748437881472,140000,7.930747960926965e-05,0.019632587082544405,0.6169190257787704,63.70401177555323,48.45392990112305,1.0753891706466674
0.8,0.1710929467439655,94.77314,0.9642007,0.022573978435993024,0.8028159618377686,0.6603950291872025,80.31255919486284,72.27632579013174,0.005699695411464197,0.001073422074317939,0.6369434,210.84339485168456,470.93254538421405,18.50445981025696,160000,6.711611058562994e-05,0.017446762532182077,0.6152850165963173,67.18909405171871,48.72008514404297,1.0845020115375519
0.9,0.16718340477123805,110.22845,0.9795993,0.02265869296789166,0.8134873956441879,0.6601004272699356,80.1778182387352,72.06923484366853,0.005599018519627927,0.001071327316761029,0.6353194,234.30630798339843,463.42108147735786,19.920806217193604,180000,7.604141137562692e-05,0.0173615837794263,0.6154813408851624,67.59404893964529,48.82571792602539,1.096933263540268
1.0,0.15467854694649585,123.294655,0.9918444,0.02300026438236248,0.8218488797545433,0.659669715166092,79.97525054961443,71.61380639293542,0.005616867478378097,0.0010796882390976,0.6329647,246.77107505798338,464.3260479278575,20.852232456207275,200000,5.429114025901072e-05,0.02320008763838559,0.6110706225037574,65.11840783059597,50.838287353515625,1.1006157577037812
