eval/D_high,eval/ci_range,train/time,eval/sd_mean,eval/R_low,train/mse,train/epoch,eval/D_low,eval/R_mean,eval/sd_low,train/callback_time,eval/R_high,eval/D_mean,train/progress,train/sol_loss,train/pde_loss,train/gls_loss,train/theta_loss,eval/sd_high
0.11495366338640331,134.21315002441406,0.0202283810973171,8.367310939438175,0.6230547577142715,0.006851517462357828,20000,0.002984266198473051,0.64029974,2.87175037083216,0.0010099659919738787,0.66636473685503,0.02064962,0.1,1.3889930905759467,4.997236300307537,627.4477231750484,0.0013196126092225313,20.39195895195007
0.003218857129104435,40.26613998413086,0.01998728742599491,66.84215521356091,0.6190849304199219,0.007088654591352645,40000,0.0027305836789309978,0.62853587,22.57818765938282,0.0009862539529800426,0.6398560881614686,0.0029138143,0.2,0.37096937326416446,0.03189098963632736,676.2402245788553,0.0001891275169327855,82.12454225867987
0.003408329747617245,41.70283126831055,0.02027022454738626,71.96524411416613,0.6197505220770836,0.007121949451440027,60000,0.0027434695162810384,0.6308141,27.34167417511344,0.0009975062131881787,0.6408330649137497,0.0030818002,0.3,0.17517062624618573,0.008021782077965247,679.7380107971175,0.00010415409633424133,81.71349093317986
0.003982730873394758,45.5859375,0.020398893988132244,72.4644903802313,0.6164869755506516,0.00700019146886186,80000,0.0027546192111913117,0.63073534,31.465501524508,0.0010069235086440909,0.6422554880380631,0.003242239,0.4,0.17456747544333256,0.00922379285006311,657.450609161371,8.648626680951566e-05,81.2339460477233
0.004003393044695258,48.92747116088867,0.02038127927780177,72.85596962354612,0.6016416504979134,0.007009876227658211,100000,0.0027678832411766052,0.62486726,36.353493854403496,0.001007053947448739,0.6418911814689636,0.0033751298,0.5,0.1561481354489934,0.005474870227579994,660.2979748260399,6.060292071197182e-05,80.74225578457116
0.004019003803841769,49.49290466308594,0.02054042805433285,73.6031661815755,0.6019887298345565,0.006912932932889084,120000,0.002779083466157317,0.6228572,41.007686033844955,0.0010083860278129488,0.6415975764393806,0.0034439373,0.6,0.16424546206518914,0.006411796037852805,649.1993223449722,4.8990201321430504e-05,80.71756083518267
0.00439070895081386,52.23885726928711,0.020484707248210676,73.96952495809334,0.6022637918591499,0.006847508502216015,140000,0.00278672183630988,0.62482005,43.93866555765271,0.0010084286212921055,0.6513911709189415,0.0035650218,0.7,0.16333811518736202,0.005562751148478119,632.8667401031581,4.814141720999032e-05,80.7376280426979
0.004381330648902803,54.66941833496094,0.02041153975725133,74.33444328673983,0.6025608122348786,0.006851234114239968,160000,0.0027931078511755913,0.6287089,47.93708315119148,0.0010099524974823005,0.6586566030979156,0.0036259468,0.8,0.16455341347083532,0.006465644408646125,624.4811351013169,4.383190025691874e-05,80.66478613764048
0.004422331228852272,56.58087158203125,0.020594101262092525,74.97514438986545,0.6028554394841195,0.006978379690670426,180000,0.002797839307459071,0.6301273,51.82417770847678,0.0010183461785316518,0.6583774104714394,0.0036890565,0.9,0.16257479374409115,0.00533718596885445,635.7727388549793,3.0851962947053835e-05,81.79625868797302
0.004605572845321149,56.632076263427734,0.02051270736455916,75.70671758985975,0.6032078787684441,0.0067389999078819535,200000,0.002804855117574334,0.6315587,57.32692955061794,0.0010176313757896426,0.6580786228179931,0.003779265,1.0,0.1510182381086039,0.005290238595753987,616.1792685607865,2.7678051992552355e-05,84.22469645738602
