train/progress,eval/sd_low,train/gls_loss,train/pde_loss,train/callback_time,eval/sd_mean,eval/R_low,eval/D_mean,eval/R_high,eval/D_high,eval/sd_high,train/time,eval/R_mean,eval/M_mean,train/theta_loss,eval/M_high,eval/M_low,train/epoch,train/mse,eval/D_low,train/sol_loss,eval/ci_range
0.1,13.85507236700505,886.4716058441172,2.9802145192101404,0.0010801476120948764,31.707315774820746,0.4497503325343132,8.177458,0.5847413077950477,15.998060584068298,78.53159960359332,0.023037163853645185,0.5733887,0.64791983,0.0024965601041913033,0.7653144985437393,0.4129238322377205,20000,0.01147594990418291,0.8144283846020699,2.023924692109223,154.13055419921875
0.2,86.51770688593388,800.8256476928759,0.03560268744989304,0.0010814388394355886,92.72610387206078,0.5801375955343246,9.028925,0.5930614456534385,10.793260526657104,98.70296455919743,0.023121680867671954,0.5860064,0.68860734,0.0023490542080253363,0.7137703329324723,0.6550635755062103,40000,0.010124621544312571,6.947451889514923,0.21592097512185587,38.48411560058594
0.3,87.8911791369319,786.5946912475638,0.023704918316751634,0.0010989218592643765,92.22130516804755,0.5769263803958893,10.153372,0.5979731723666191,12.374416494369507,97.94889688491821,0.023401189446449252,0.5864166,0.700415,0.00034606014378368855,0.7230482906103134,0.6575243249535561,60000,0.00988547871410849,7.002508485317231,0.1830694655947383,43.30638122558594
0.4,85.76064743101597,755.1183474731474,0.028271618140628507,0.0011002145886421148,91.24473989394804,0.5780811190605164,10.634134,0.6015885636210442,12.440448927879334,97.39126618951559,0.02335637626647943,0.5895855,0.70478606,0.00013765491894446313,0.7236787259578705,0.6604688242077827,80000,0.009521620785165639,7.12576071023941,0.16543662269637122,46.07627868652344
0.5,85.98209228366613,750.1738223541271,0.026735369276488268,0.0010782848596572836,91.9884853628464,0.5787476852536202,11.246819,0.6012216314673424,15.322071051597595,97.92451076209545,0.02286194462776172,0.58864367,0.71142364,7.344758341787383e-05,0.7525010332465172,0.6655754595994949,100000,0.009520967596024235,7.372282111644745,0.16999173035323545,49.75368881225586
0.6,86.17200627923012,712.1415479278595,0.013851761825522346,0.0010512071013450634,92.94414058715105,0.5633108004927635,12.192944,0.6008579790592193,17.439237689971918,99.20068960636854,0.0224988527417184,0.58605486,0.720451,8.417155186180025e-05,0.7679915502667427,0.6691692277789116,120000,0.009093238068325394,7.641196191310883,0.1601795245222746,51.36953353881836
0.7,86.36291828006506,718.0484837341231,0.028806694483640715,0.00106618345975875,93.73233089316636,0.5537599846720695,14.241093,0.6005666419863701,28.005938673019408,100.86479391902685,0.022881631720066076,0.58142793,0.7359405,0.00011823328532045707,0.8318579375743866,0.6707604914903641,140000,0.009200888662179867,7.771919047832489,0.1709057025134585,54.888858795166016
0.8,86.52359526604414,692.0694156249994,0.03925467330845966,0.0010617539405822513,94.07668165495353,0.5521559685468673,16.432985,0.6002731367945671,30.448009824752805,100.49654338508844,0.0227097165942191,0.57766604,0.7504366,4.886304304818623e-05,0.8414947867393494,0.6726949974894524,160000,0.008937852167338296,7.822358775138855,0.1640943869844082,59.2231330871582
0.9,86.656672693789,699.743455938723,0.020679933977313426,0.0010649754285812485,94.2961446734611,0.5364631325006485,18.677351,0.599957287311554,35.01964626312256,100.3437103703618,0.02279500752687455,0.57309014,0.76449627,4.9633024900685996e-05,0.8677856981754303,0.6742873728275299,180000,0.009077939254650783,7.873885715007782,0.1658571766011412,63.371360778808594
1.0,86.39414198696613,686.4638545776385,0.018723487580521024,0.0011094655752181938,93.81762142529091,0.53676687926054,19.960623,0.5996373012661934,34.9680230140686,100.14584716409445,0.023932025718688753,0.57092655,0.7737902,3.7031360989203677e-05,0.8674798622727394,0.6754762336611748,200000,0.00903311339314105,7.96567280292511,0.1636969744011769,64.33393859863281
