eval/D_low,train/gls_loss,train/sol_loss,eval/D_high,eval/sd_high,eval/M_low,eval/sd_low,train/theta_loss,train/mse,train/epoch,train/callback_time,eval/D_mean,eval/sd_mean,eval/M_mean,train/pde_loss,eval/R_mean,eval/M_high,eval/ci_range,eval/R_low,eval/R_high,train/time,train/progress
1.1607508063316345,1935.303064865118,5.106388377726066,1.4219879865646363,162.2084639966486,0.4609565496444702,11.086413753218949,0.1428598165512085,0.004085266496986151,2000,0.0010509082078933745,1.3370721,41.453052824828774,0.59354013,1.0492379835955812,0.667977,0.7423381194472313,244.5616455078125,0.3725708045065403,0.7801207095384598,0.0255387777090073,0.01
1.4319864600896834,337.40408915710447,0.6510443266034115,1.6591482818126677,10.635502147488296,0.6207195475697518,6.635134795214981,0.06184130907058716,0.0030760797671973705,4000,0.0009607015848159782,1.5365127,8.412788389716297,0.6534859,0.06989529664441971,0.7988037,0.6807793006300926,15.843626976013184,0.7808957353234292,0.822913010418415,0.024375435471534774,0.02
1.6757931768894196,256.0434737472535,0.5096394633650789,1.9881899654865265,6.45583305740729,0.608919145166874,4.403375706169754,0.033898159861564636,0.0024751510936766863,6000,0.0009638528823852525,1.8315752,5.279569168807939,0.6126961,0.07792550604045403,0.8457046,0.6187232345342636,16.24819564819336,0.8255149602890015,0.8558527946472168,0.024523444771766618,0.03
2.0059670329093935,211.14507086181638,0.41728387552499857,2.2862589180469515,4.3287068721838295,0.6190219148993492,3.5021147050429136,0.018485400825738907,0.0021176717709749937,8000,0.0009699378013610826,2.150391,3.8854908485664055,0.63410705,0.08214030375145366,0.8341449,0.6477419629693031,22.96180534362793,0.8092460393905639,0.8542188435792923,0.024716845393180795,0.04
2.2991737604141234,181.858228713989,0.34409917382895927,2.358284002542496,3.4542670764494687,0.6488207265734672,2.9824614175595343,0.023421239107847214,0.0017891580937430263,10000,0.0009724974632263179,2.3387694,3.155239181010984,0.6657462,0.07945915319025518,0.7903219,0.6823990285396576,24.179195404052734,0.7774326786398887,0.8077785357832908,0.024770165562629662,0.05
2.052197074890137,164.73587606811518,0.30682278795540396,2.298245686292648,3.3988913462962955,0.6821862861514092,3.036645316751674,0.012284038588404655,0.0015526101924479008,12000,0.0009690798521041875,2.1808012,3.235008575953543,0.688184,0.08714869263116273,0.7723051,0.6916827708482742,28.20582389831543,0.7663728788495063,0.7780796304345131,0.02469223654270169,0.06
1.7716742932796479,158.64278997802757,0.3001825115084637,2.0396763741970063,3.7521889433264732,0.6787290707230568,3.380306495819241,0.005863622762262821,0.001666906988248229,14000,0.0009781966209411626,1.9064555,3.537981966161169,0.6855531,0.10486142530851064,0.763694,0.6910856202244758,31.741607666015625,0.7584106057882309,0.7686262607574463,0.024788516163826022,0.07
1.511974835395813,157.47953268432576,0.30424632653594014,1.7567592352628707,4.352203535381705,0.6624927341938018,3.759660408832133,0.005537917837500572,0.001627646153792739,16000,0.0009777138233184812,1.6314759,4.073590165586211,0.67071116,0.1347722853813322,0.75536424,0.6788987278938293,37.57707214355469,0.7476616412401199,0.7623338684439659,0.024680793285369897,0.08
1.3056855469942092,157.28141658019993,0.31034583504497976,1.4987485080957412,4.75886199856177,0.6468561977148056,4.349466355051845,0.0025605333503335714,0.0016701951390132308,18000,0.0009783391952514634,1.3981695,4.520348432473838,0.6542991,0.17024523431528346,0.74670506,0.6619444966316224,41.77210998535156,0.7402709394693374,0.7533341467380523,0.024628561019897445,0.09
1.1911614656448364,158.08049050140355,0.312327652797102,1.2988989114761353,5.708973936270922,0.6392336592078209,4.797701153438538,0.004009068477898836,0.0016832054825499654,20000,0.0009798085689544653,1.2376739,5.320301222149283,0.64278823,0.18869454985763925,0.7433375,0.6473415151238442,44.590782165527344,0.7358573257923127,0.7509261086583138,0.02468613648414614,0.1
