eval/D_mean,eval/sd_high,eval/R_low,train/time,eval/D_high,train/epoch,eval/ci_range,eval/sd_mean,eval/R_mean,eval/D_low,eval/M_mean,eval/M_low,eval/R_high,train/mse,eval/M_high,train/pde_loss,eval/sd_low,train/theta_loss,train/callback_time,train/sol_loss,train/progress,train/gls_loss
4.0780797,47.36458538100105,0.6191521525382996,0.023125050640106087,11.995695829391478,20000,129.24600219726562,9.673133809713182,0.6454361,1.404003694653511,0.7754186,0.6835948824882507,0.6919245049357402,0.006768168582627506,0.8988994657993316,1.1700295738436064,3.101068682735786,0.0023460290394723415,0.0011270018219947768,1.3233517963290164,0.1,604.7250765945386
503.4372,40.927921514958136,0.6559961527585983,0.023053807139396695,1177.3844299316406,40000,49.6746940612793,17.084204924828374,0.67696345,15.592603945732117,1.2371824,0.9223293721675873,0.6854017943143844,0.0049133873180486395,1.4147654324769974,0.09294781718812894,4.708271007984877,0.002331505296751857,0.0011016882538795526,0.8270910663873012,0.2,431.58037237243906
938.2034,64.89870194345713,0.6587672740221023,0.025131168425083356,1618.0882537841796,60000,49.320125579833984,38.38627993761329,0.6803186,18.550782489776612,1.326935,0.9397323071956635,0.6901384726166725,0.004942696183896651,1.4396493285894394,0.0333162880159913,4.789637343492359,0.0002563663583714515,0.0011647952914238017,0.2612332804590462,0.3,444.27391822204254
1030.9409,64.79563042521477,0.6616205945611,0.025060568106174425,1611.620538330078,80000,46.968929290771484,46.000946559252526,0.68011993,22.264773321151733,1.3523502,0.9573640286922455,0.6898053303360939,0.004876114995195497,1.4381821244955062,0.023455261284718372,4.900369595270604,9.582929487805814e-05,0.0011631292104721073,0.16289691092148373,0.4,438.08060421905503
1069.1414,64.60389252752066,0.6644825533032417,0.023037785744667263,1644.5186553955075,100000,46.70021438598633,49.60308232013485,0.67946196,26.80091142654419,1.3628682,0.9765770331025123,0.6894807294011116,0.004881623961846358,1.4457174211740493,0.02693082397049307,4.997029923833907,0.0001704124442767352,0.0011007516860962016,0.1700619519479575,0.5,438.1535449768048
1451.346,64.37315884977579,0.6587799683213234,0.02332902475595479,3444.444415283203,120000,46.63933181762695,51.427165165576156,0.6761732,32.95699625015259,1.3956228,0.9974682241678238,0.6891003474593163,0.0047036417357856205,1.551453959941864,0.03554009368354464,5.064079794101417,0.0002574089739937335,0.0011049932718276898,0.1609565540060404,0.6,432.73698183746524
1728.757,64.14394769817591,0.6589518770575523,0.02258827584981905,3601.4675842285155,140000,47.15346145629883,52.409024467905205,0.67473847,40.3035291671753,1.418417,1.0181142449378968,0.6885057732462883,0.004420783627568741,1.556938934326172,0.036508241707831304,5.137106613256037,0.00010103324893862009,0.0010778532266616857,0.1565809166125928,0.7,405.70247744445925
1807.3893,64.04408402740955,0.6591386184096336,0.022275757598876605,3572.6431945800778,160000,47.6439323425293,52.78450542903572,0.67474204,49.72868070602417,1.4273411,1.040001603960991,0.6879775688052178,0.004359015726577525,1.5560125261545181,0.023660944221657713,5.244643799960613,4.376745710032992e-05,0.0010664316534996095,0.15021335134729683,0.8,398.9232066726671
1877.8424,63.92269805073738,0.6593076974153519,0.022405682408809833,3529.756158447265,180000,48.03125,53.242297739276545,0.675497,61.29632024765016,1.4347312,1.062389811873436,0.687591926753521,0.00436762271407061,1.5551108211278915,0.018848315135482605,5.392834777012467,3.110404213657603e-05,0.001071541082859039,0.14599164573922668,0.9,399.5966341094989
2035.7323,63.808709755539894,0.6594817042350769,0.023725963938236307,3666.256201171875,200000,48.933692932128906,53.65067283223228,0.67591083,75.44576206207276,1.4460605,1.08574535548687,0.6873226180672646,0.004290973482909582,1.5583490133285522,0.02666321557466856,5.525481561198831,0.00018091851961798966,0.001130933129787449,0.14606893330588927,1.0,394.8407804718029
