eval/R_low,eval/sd_mean,train/mse,train/gls_loss,train/time,eval/ci_range,eval/R_high,train/theta_loss,train/callback_time,eval/D_mean,train/epoch,eval/sd_low,train/progress,eval/sd_high,eval/D_low,train/sol_loss,eval/R_mean,train/pde_loss,eval/D_high
0.6282634600996971,27.009870641166344,0.001828435924835503,1366.82935594177,0.02053737914562225,253.67379760742188,1.4949837416410445,0.20373405516147614,0.0010090240240097034,0.2331237,2000,3.6914842145051807,0.01,136.13938950002168,0.012452544993720949,3.841197181761248,0.87291896,35.1237720572947,1.1836934030055999
0.8054536879062653,3.161786407814361,0.0015419244300574064,169.131914619446,0.019840867519378615,26.653451919555664,0.8454642310738564,0.08019255846738815,0.000978035330772402,0.008464498,4000,2.8662442869972438,0.02,3.5898252273909748,0.00640650640707463,0.31221787860989514,0.82371986,0.26933741587028,0.011730801686644553
0.7761500969529151,2.7553589459275827,0.0014821223448961973,150.5214579772947,0.01975723934173585,34.34262466430664,0.8030285522341728,0.04578559845685959,0.00098431730270386,0.0054030633,6000,2.7066196023952216,0.03,2.846787840826437,0.004765290848445148,0.2853209691941741,0.78515,0.10567924781143667,0.006276891019660979
0.7762750044465065,3.02465832256712,0.0014180310536175966,140.2686209716797,0.01986528897285463,29.25583267211914,0.7825314491987229,0.027238406240940094,0.0009854009151458681,0.0045955693,8000,2.73216525092721,0.04,3.4488317847717553,0.004429404868278653,0.26501376122981324,0.7792756,0.1077803878448904,0.0049433573265559964
0.7808801785111428,3.9047846753383055,0.0012943760957568884,138.45406171035822,0.01989828836917878,33.482200622558594,0.7893942922353745,0.015302805230021477,0.0009815868139267,0.0042435057,10000,3.523800801485777,0.05,4.661897057667375,0.0037679328117519615,0.25868012972176113,0.7851676,0.08685982026904841,0.004897621739655733
0.7866895213723183,4.502330944407731,0.0014857880305498838,137.4599348297128,0.019877532362937825,41.234336853027344,0.797010549902916,0.009603514336049557,0.0009849038124084488,0.003476102,12000,4.102797852829099,0.06,5.0552823464386165,0.003157784469658509,0.2608546887561682,0.79204255,0.07521000064257521,0.00387220800621435
0.7936743527650834,4.742867764784023,0.0011680428870022297,139.84936012649538,0.019875093102455096,49.35953903198242,0.8051060825586319,0.0066738855093717575,0.0009776087999343894,0.0029318803,14000,4.653458495158702,0.07,4.917394113726914,0.0028181367088109255,0.27626420394331264,0.7993503,0.07860439235903331,0.003163609834155068
0.7966420993208885,5.357803108403459,0.0022375325206667185,143.0271579627995,0.01990152478218074,52.76750183105469,0.8066900759935379,0.006717443000525236,0.000985087037086484,0.0029954729,16000,4.880723264068365,0.08,5.837177089415491,0.002871597948251292,0.28813320474326576,0.80195224,0.09076117676589628,0.0031495491450186817
0.782618661224842,6.60613166145049,0.0015017961850389838,155.31304362487785,0.019894140243530225,60.65769577026367,0.8007098108530044,0.0037972358986735344,0.0009840532541275009,0.0032946896,18000,5.840156914200634,0.09,7.392895151861012,0.003094978170702234,0.3152493516057722,0.79123336,0.11880442906497043,0.00345731025445275
0.7662657961249352,8.73489583330229,0.002184993354603648,162.2781719665528,0.01989121007919313,62.24289321899414,0.7887425154447556,0.006695186253637075,0.0009870982170105014,0.0035969757,20000,7.460272056050599,0.1,10.196071537211537,0.003446124290348962,0.32332302990555756,0.7773109,0.1305992043078881,0.003765391756314784
