train/progress,train/mse,train/sol_loss,train/theta_loss,eval/D_mean,train/gls_loss,eval/R_high,eval/R_mean,train/time,eval/sd_high,train/pde_loss,eval/sd_mean,eval/D_high,eval/R_low,train/callback_time,eval/sd_low,train/epoch,eval/ci_range,eval/D_low
0.01,0.004518275149166584,3.9978555354774024,0.17603164911270142,0.09934777,1370.1370904693558,1.3647651642560956,0.7059649,0.02463139390945434,133.0077134072778,50.91463644975428,24.694620028836653,0.7343271762132643,0.5947854220867157,0.0010662847757339478,6.111838924698532,2000,302.0373840332031,0.005863221699837595
0.02,0.00325408554635942,0.7715822578668584,0.05770711973309517,0.0039324453,387.58955303955105,0.5894179254770279,0.5518991,0.0235228152275085,5.888958729337901,1.0353426901698115,4.3286574019584805,0.005487905477639288,0.5393837109208107,0.0009743850231170668,3.3269198378548026,4000,64.55359649658203,0.0032900350808631627
0.03,0.0027092122472822666,0.5686372739225649,2.868401527404785,0.0031294895,292.79794149780236,0.6706774294376373,0.60090053,0.023547826170921358,3.543287416687235,0.47858208895847293,3.118247617036104,0.00362995708710514,0.5495627582073211,0.0009829907417297343,2.881321625318378,6000,67.92572784423828,0.0027692389267031103
0.04,0.0020496416836977005,0.4439972691535957,0.0670720562338829,0.0027003384,233.40887223052965,0.685379196703434,0.67561924,0.023546358108520495,3.467724873917177,0.3545057102181017,3.1744782455498353,0.00293785062385723,0.6602320179343224,0.00098254954814911,2.9394730110652745,8000,61.53104782104492,0.0025441834179218857
0.05,0.0032445820979774,0.45588065294921404,0.014610893093049526,0.0026907893,237.3078594665521,0.6810071259737015,0.66614807,0.02381609439849852,5.333360086660831,0.3374701615571973,4.083847674774006,0.003382716525811702,0.6400543093681336,0.0009809533357620227,3.38630176265724,10000,67.84127044677734,0.002518373337807134
0.06,0.002775577362626791,0.4888109887987375,0.09493249654769897,0.0025721495,247.9275204620359,0.6622207939624786,0.64814305,0.023810794711112915,5.882239644415677,0.38360504558309894,5.255893063033,0.0027419019665103402,0.6341401487588882,0.0009897906780242933,4.784673359245062,12000,75.6441421508789,0.0024694201769307257
0.07,0.0025031715631484985,0.5272684297412623,0.01240096241235733,0.0025126152,263.4282803878775,0.638767072558403,0.6228999,0.02397863233089451,7.7282447600737205,0.40797587238624616,6.662643984425813,0.0026432930899318303,0.6088700667023659,0.0009963574409484874,5.868513777386397,14000,81.33686828613281,0.0024319588439539073
0.08,0.002280492801219225,0.5260880588889137,0.005469258408993483,0.0024550953,265.7914212646484,0.6155130282044411,0.600081,0.02386971092224122,10.027373977936804,0.4264307934343805,8.779165275860578,0.0026130113459657874,0.582396799325943,0.0009901639223098729,7.783993647899479,16000,85.00871276855469,0.002338016300927848
0.09,0.024132754653692245,0.5418540100902318,0.2799775302410126,0.0024392141,284.8086861038211,0.5858493223786354,0.5652854,0.024214677214622515,14.720319746993482,0.4894597673770041,12.461626529693604,0.0026754236314445725,0.5398179203271866,0.0010067307949066142,10.074161132797599,18000,83.83810424804688,0.00222804676159285
0.1,0.0071357316337525845,1.4833128260672095,0.00308585655875504,0.00415814,868.2805792388949,0.6620443090796471,0.6297682,0.0242953836917877,57.103254366666064,0.4980859952867017,24.486599947325885,0.019233141187578424,0.5722009360790252,0.0010056104660034156,19.104211637750268,20000,156.62521362304688,0.0023005448165349662
