train/progress,eval/D_mean,eval/ci_range,eval/sd_high,eval/R_high,eval/D_low,train/pde_loss,eval/R_mean,eval/D_high,eval/sd_low,eval/sd_mean,train/theta_loss,train/epoch,train/sol_loss,train/gls_loss,train/callback_time,eval/R_low,train/time,train/mse
0.1,0.032054234,200.71759033203125,51.70987425371972,0.6671059414744376,0.0028049078304320575,3.148383205129958,0.62368304,0.41235451102256226,4.279023269191384,11.345373863680289,0.007428734563291073,20000,1.4944808091401875,697.3244363342334,0.0010014595985412592,0.3991675615310669,0.020074392414092996,0.007695962040289433
0.2,0.0034705726,42.91014862060547,84.39297191798687,0.6265287578105927,0.0030777427717112006,0.052712027580407196,0.6159145,0.0040833712904714044,19.449040200561285,65.00017097983509,0.0002641579485498369,40000,0.4147793390467805,601.245601672363,0.0009887414813041595,0.605826398730278,0.019929017698764432,0.0064598686819896285
0.3,0.0037963302,45.054534912109375,87.11640853434801,0.6296893164515496,0.003105156705714762,0.008053046414838314,0.6188466,0.004580604587681591,21.316591324284673,74.35973488623276,0.00013491757272277027,60000,0.15204332624263736,657.9323548828004,0.0009920324921607877,0.6072165295481682,0.020151282191276616,0.007243085703137338
0.4,0.0038045181,47.26875686645508,86.87249980866909,0.634796054661274,0.0031169603811576963,0.007323305048653839,0.6205251,0.004567168501671404,24.694950412958864,75.53700957465917,0.00012964062625542283,80000,0.15238104671388933,651.2557236999503,0.0009977068424224967,0.6077237576246262,0.020170605015754548,0.006990254102926713
0.5,0.0037174446,50.726322174072266,86.62030715495348,0.6340612351894379,0.0031329412304330617,0.007454589477903214,0.62005013,0.004542552190832793,28.5471866838634,74.97179613751359,9.932688408298418e-05,100000,0.15676490656435685,679.4548875885002,0.0009996641397476155,0.6081614986062049,0.02017455549240112,0.007207319285511038
0.6,0.0037108804,54.319847106933594,86.42752561718225,0.6332459643483161,0.003142819786444306,0.009464481292269157,0.61947185,0.004524869238957762,33.238970953971155,75.42895161364227,0.00010382785694673657,120000,0.17252360658198657,674.1914424163857,0.0010002751469612018,0.6087786450982093,0.02021424386501312,0.007147939357766834
0.7,0.0036678158,55.71553039550781,86.2213034182787,0.6325312435626984,0.0031533895526081324,0.009998848905623785,0.620257,0.0045146453892812135,35.10982412844896,76.44235792181765,6.237918569240719e-05,140000,0.16346897526606907,661.4385548065052,0.0010021377682685796,0.6092756986618042,0.020217728054523574,0.007053991409414436
0.8,0.0036415197,57.76799392700195,86.05609983205795,0.6359258487820625,0.0031152205425314604,0.00997771957418885,0.6214152,0.004490418417844921,38.34391674026847,76.6598067366385,7.769120566081256e-05,160000,0.15489493663459925,658.4609492492643,0.0010050370693206773,0.6097469240427017,0.020256940400600432,0.007029493697313596
0.9,0.0035025585,60.754852294921875,85.83725225180387,0.6439338326454163,0.0023158413416240367,0.013193954053427995,0.62399787,0.004468795692082495,40.32035917043686,76.84929470990319,0.00018017216643784195,180000,0.15190467310324357,678.8351164276114,0.0010083666801452562,0.6101921990513801,0.020306964266300017,0.007144685366866138
1.0,0.003305806,64.86027526855469,85.78337095677853,0.6443838521838188,0.0015865947993006558,0.011780382139724646,0.6247407,0.0044435859890654674,44.18133720755577,77.46243728720066,7.244609150802717e-05,200000,0.14890776243433285,710.3130052246136,0.0010105400323867713,0.6105002105236054,0.020284875977039433,0.007449599571898559
