train/progress,train/time,train/callback_time,eval/R_low,eval/M_low,train/gls_loss,train/theta_loss,eval/sd_mean,eval/D_low,eval/sd_low,eval/R_high,train/pde_loss,eval/R_mean,train/sol_loss,train/mse,train/epoch,eval/D_high,eval/D_mean,eval/sd_high,eval/M_high,eval/ci_range,eval/M_mean
0.01,0.021495298266410803,0.0010271972417831442,0.4154330611228943,0.4938403688371181,2701.2754262390213,0.17874088883399963,46.66469967644662,1.17038713991642,15.746783558279276,0.5614610359072685,1.1589022208079696,0.50543314,7.384852939724933,0.011499791406095028,2000,2.149874782562256,1.6222856,202.205856516957,0.8495660677552224,362.484130859375,0.5758899
0.02,0.020350636124610945,0.0009622409343719479,0.5111445128917694,0.5150116786360741,778.1531447448727,0.0753697007894516,13.451385110151023,2.2253137171268462,12.31024854350835,0.5631975561380387,0.3556014822497968,0.5281034,1.7723205428719535,0.008007093332707882,4000,3.0940399527549745,2.7885213,15.413968893699348,0.5546293511986733,93.07862091064453,0.5408868
0.03,0.020385723829269467,0.0009647427797317507,0.513976263999939,0.5404948458075524,569.8288395996095,0.0409446582198143,11.949791121762246,2.949271011352539,11.711942427791655,0.5272004023194313,0.40916123926266995,0.5213323,1.2986131149530387,0.0063869161531329155,6000,3.1145651280879973,3.059584,12.245991243980825,0.5527297005057334,78.8729248046875,0.5449085
0.04,0.020368311405181888,0.000968018174171448,0.5094521939754486,0.5225984007120132,457.62861363220185,0.02246633917093277,11.39816089719534,2.116654318571091,10.844534146599472,0.5319111451506615,0.3664650772139422,0.5218982,1.0652220862507846,0.00721051124855876,8000,2.9175102531909944,2.547146,11.969147040508687,0.5456762924790383,94.84905242919922,0.5362469
0.05,0.02046594536304464,0.0009716671705245963,0.4902772068977356,0.4747999355196953,416.99173320007316,0.023755967617034912,11.150927938520908,1.3796532839536666,10.698194545693696,0.5089587524533272,0.3638247550353411,0.49984792,0.9868991924226269,0.0048807542771101,10000,2.0702970027923584,1.7051181,11.692049447447062,0.5205836281180382,112.67263793945312,0.49811244
0.06,0.02060828530788421,0.0009706659317016617,0.46273028329014776,0.4320034243166447,404.20123033142,0.06118855997920036,11.966856888495386,0.9278100922703743,11.569203366525471,0.488579286634922,0.3494019360207016,0.47557235,0.9695571213662612,0.004022618290036917,12000,1.3509411424398423,1.127051,12.5218654749915,0.4720157280564308,118.7054672241211,0.45191833
0.07,0.020613543272018375,0.0009698179960250868,0.4443903185427189,0.39214666187763214,395.9645403594988,0.011734828352928162,12.986271715257317,0.6385584637522698,12.35579177737236,0.46314742490649224,0.3525735272634768,0.4533056,0.9511149506568899,0.004000277258455753,14000,0.911211508512497,0.7660808,13.728863629512489,0.4302158527076244,128.38552856445312,0.4108097
0.08,0.0205807104110717,0.000960458993911743,0.42117677107453344,0.3562354169785976,390.27127185058595,0.003445647656917572,14.421909232623875,0.4606972299516201,13.552291807718575,0.4459668070077896,0.35097430030256466,0.43288687,0.9306475622355935,0.004364402964711189,16000,0.6290746033191681,0.54081964,15.978485345840452,0.39044725671410563,128.53285217285156,0.37348497
0.09,0.020624390125274634,0.0009726839065551776,0.3966848038136959,0.3244475744664669,378.9803605041503,0.023175328969955444,17.917338337749243,0.3482791304588318,15.972337359562516,0.4220074720680714,0.3466911416910599,0.40984184,0.8783181768953787,0.010107379406690598,18000,0.45229098349809643,0.39694983,20.122359320521355,0.3550055369734764,127.56989288330078,0.33964604
0.1,0.020460425496101286,0.0009707421064376831,0.3780318059027195,0.3046902656555176,371.1775003509533,0.012664800509810448,20.573531687259674,0.2836383879184723,19.41934865899384,0.3978027909994125,0.327846462775022,0.38735932,0.8435148561596866,0.00491595221683383,20000,0.3444406285881996,0.3105151,23.006506683304906,0.3259615503251552,125.4645004272461,0.31457332
0.11,0.02051121008396147,0.0009689322710037222,0.3640273310244083,0.2675895430147648,292.78842981719976,0.0009418235858902335,23.234683072194457,0.2060115046799183,22.164972685277462,0.3811357140541077,0.14201270236354377,0.37241015,0.6029228503704069,0.0035937526263296604,22000,0.28127818629145623,0.23916069,24.653850262984633,0.30461994409561155,77.88224029541016,0.28522113
0.12,0.021026188850402815,0.0009815319776535017,0.35599408447742464,0.24489344134926797,259.88496891021657,0.0009291981696151197,24.264139149338007,0.16788716278970242,22.22711816430092,0.37904430329799654,0.08217186347721156,0.36654803,0.5014849429130557,0.0032372784335166216,24000,0.2775399349629879,0.21117544,26.92282423377037,0.3031951665878296,66.00347137451172,0.26987034
0.13,0.0210154359340668,0.0010023912191390993,0.3441976957023144,0.2292348925024271,250.75369870758004,0.0009336891234852374,25.957006900260847,0.14353716112673282,22.275337297469378,0.37799676358699796,0.066757066137623,0.36074084,0.4275215878635645,0.0032512117177248,26000,0.2744322173297405,0.19221573,30.828850669786334,0.3022554017603397,59.32618713378906,0.2587046
0.14,0.020980458974838214,0.001006190896034242,0.343045487254858,0.22141188383102417,245.32303540039084,0.0014350175624713302,27.663128884974867,0.12949200496077537,22.319098794832826,0.3773459285497665,0.05543215577397499,0.35689047,0.37466560310125374,0.003417698200792074,28000,0.2716331973671913,0.17767598,34.638371132314205,0.30136601328849794,55.5201416015625,0.24995212
0.15,0.020799601078033424,0.0010097821950912442,0.3382537789642811,0.21715281754732133,246.29643519592278,0.00040897412691265345,29.821511371433736,0.12116343285888434,22.356168972328305,0.37686887457966806,0.0386062937311363,0.35384712,0.2970616091787814,0.003183803055435419,30000,0.2695106729865074,0.16698352,39.453543815761805,0.30061727985739706,52.769039154052734,0.24372359
0.16,0.021371315479278553,0.0010233798027038563,0.33068417608737943,0.21204980611801147,245.39681443786645,0.00044845539378002286,31.622584227472544,0.11551281344145536,22.39276464097202,0.3764770492911339,0.017865460206056036,0.3501646,0.26207500078529156,0.003221108578145504,32000,0.26763995438814164,0.15868583,41.6581648401916,0.29967419654130933,50.31734848022461,0.23860113
0.17,0.02170355093479165,0.0010230482816696168,0.32758970037102697,0.20844999849796295,242.72195971679673,0.00044966291170567274,33.24331331811845,0.10959516074508428,22.43295917287469,0.37618228420615196,0.018215219287201673,0.34723857,0.2315948886424306,0.0031592445448040962,34000,0.2652804650366306,0.15193047,44.19454876333475,0.29827245995402335,48.33157730102539,0.23446184
0.18,0.021389209747314456,0.0010193694829940805,0.3230401426553726,0.20105197317898274,241.94544538879381,0.00037044702912680805,34.70199853810482,0.10193762760609389,22.46791278012097,0.37592105865478515,0.01443726955493911,0.34432355,0.22571165946126,0.003185430308803916,36000,0.26269876733422276,0.14600031,45.195268373936415,0.2974331326782703,47.612831115722656,0.23061463
0.19,0.021383210897445645,0.0010173102617263793,0.32307907566428185,0.1993958130478859,243.85019367980968,0.00026953802444040775,36.17573725204501,0.0994950408115983,22.51135162077844,0.37565767839550973,0.0057618478778749685,0.34244874,0.19091655278950992,0.0032639713026583195,38000,0.26039529815316187,0.14090742,49.75643577054142,0.29608874246478073,46.660972595214844,0.22717786
0.2,0.02139542925357819,0.001015386104583742,0.32312188297510147,0.19821725338697432,245.52839968109134,0.00025069343973882496,37.64719940144569,0.09635863732546568,22.546999203041196,0.37547742277383805,0.006483218362671332,0.34077662,0.16001443770527823,0.0032228552736341953,40000,0.25772428438067424,0.13650449,51.19547061622143,0.2951982103288174,45.923545837402344,0.22434136
0.21,0.021491877317428583,0.0010161148309707623,0.32317207008600235,0.19536624886095524,241.06322946929976,0.00021777873917017132,38.79363716190512,0.095012210868299,22.57343651726842,0.3752426341176033,0.004732412304962065,0.33970478,0.15827339306473714,0.0032094833441078663,42000,0.25601683035492895,0.13276567,51.1782712303102,0.2943991184234619,45.14197540283203,0.22175506
0.22,0.02146202111244204,0.001013620615005495,0.32326422929763793,0.19485911205410958,241.66254798889145,0.00020503895939327776,39.753846953157336,0.09253107346594333,22.6071166805923,0.37494356855750083,0.007969243030645896,0.33956733,0.14746216133981935,0.003202855819836259,44000,0.25344623550772666,0.12947473,51.330752950161695,0.2930746600031852,44.767818450927734,0.21954715
0.23,0.02154817354679108,0.001017135143280031,0.3233199447393417,0.19358864165842532,241.88041281890804,0.00025675242068246007,40.68687286371222,0.08910883348435164,22.643323056399822,0.37464893236756325,0.011682176018715813,0.3397044,0.14303738886863007,0.003161389147862792,46000,0.2512965217232704,0.12643221,52.1865819580853,0.29163497015833856,44.6715087890625,0.21757568
0.24,0.02149798381328585,0.0010185133218765293,0.3233750343322754,0.19050840698182583,236.5029456634524,0.0002247802185593173,41.38897203002125,0.08441528920084237,22.678966354578733,0.37437855675816534,0.01376341145276094,0.34035748,0.1481137205064295,0.003047479782253504,48000,0.24872014038264748,0.12348074,52.149505447596304,0.2908334344625473,44.69065475463867,0.21567135
0.25,0.021427762269973765,0.0010124510526657092,0.32342350110411644,0.1849899910390377,234.23022946929913,0.00021135418501216918,41.990603444725274,0.08069715704768896,22.723365388810635,0.3740648083388805,0.013682714376715014,0.34122697,0.15596843498200239,0.0030374466441571712,50000,0.24667883738875387,0.12064802,52.10921047255396,0.29002707228064534,44.59634017944336,0.21365327
0.26,0.021590821146965002,0.0010158181190490728,0.32347259670495987,0.18084944635629654,231.51724601745616,0.00020477353245951235,42.47549200092908,0.07742200661450624,22.7720539085567,0.3736640214920044,0.014226201021811007,0.34194514,0.15988930727541453,0.0030484881717711687,52000,0.2455448098480701,0.11795783,52.07203114405274,0.2889888308942317,44.850669860839844,0.21163753
0.27,0.021443388223648017,0.001017484784126283,0.32351079136133193,0.1793183669447899,234.12628724670384,0.0013715248787775636,42.95218957292245,0.07432309668511153,22.834547562524676,0.3733272314071655,0.018899463605019304,0.3427119,0.14487201254069768,0.0032777523156255484,54000,0.24342689886689187,0.11540683,52.048047073185444,0.28754415512084974,45.30531311035156,0.20973322
