train/epoch,train/mse,train/callback_time,eval/R_low,eval/sd_high,eval/D_low,train/sol_loss,eval/sd_low,train/time,eval/ci_range,eval/sd_mean,train/pde_loss,eval/R_high,eval/R_mean,eval/D_mean,train/theta_loss,eval/D_high,train/progress,train/gls_loss
2000,0.003418798092752695,0.0009806076288223211,0.48826639652252196,180.13883382081954,0.0072775699198246,4.793050040394063,6.536983454134315,0.019951856255531288,323.098876953125,37.73253222252242,44.29150804555411,1.1480303615331648,0.686458,0.21786466,0.21994595229625702,1.2719346731901167,0.01,1942.3568781585682
4000,0.002606283873319626,0.0009741283655166617,0.655761955678463,6.217850779648869,0.004690361209213734,0.577238598793746,4.176756518427283,0.019731772065162675,58.9791145324707,4.945980892283842,0.8380320830792177,0.702149286866188,0.68742543,0.005459719,0.07571221888065338,0.006800214166287332,0.02,290.50501918029727
6000,0.0021282981615513563,0.000973953962326049,0.6932518571615219,4.118986171670258,0.003173855075147003,0.46415119720995424,3.454649681225419,0.019852277517318676,55.9273567199707,3.757239338476211,0.33099709337204847,0.7036060854792595,0.69851863,0.0038944217,0.035079311579465866,0.004616623139008879,0.03,233.0222287902832
8000,0.003677557222545147,0.0009773243665695188,0.6895292565226555,3.8606859045103192,0.0024895162612665446,0.43890880872309157,3.391942725284025,0.019774282932281523,58.87128448486328,3.598014624323696,0.2445350590758027,0.6976709201931953,0.69477695,0.0028275144,0.10744357109069824,0.0031597777910064902,0.04,218.98093762207048
10000,0.0020818959455937147,0.0009742678403854378,0.6677613034844398,4.773610772099345,0.0021118355449289083,0.43775580394268,3.5863314871676266,0.019943489789962694,63.079124450683594,3.8386159017682076,0.23711297131702216,0.694603656232357,0.6862018,0.002342126,0.020139068365097046,0.0028241321910172697,0.05,216.9257180099486
12000,0.0022651618346571922,0.0009753658771514869,0.6551913112401963,4.39159240340814,0.00185960371454712,0.46012682563066654,3.896761784562841,0.01965425229072577,68.70529174804688,4.015683999983594,0.23613436597771964,0.6802987694740296,0.6687882,0.001994655,0.008293617516756058,0.0023950681090354918,0.06,224.01967111969088
14000,0.002558151027187705,0.000978061318397523,0.6257143542170525,4.625142482109368,0.0016898554807994516,0.5057913588881515,3.9817522861994803,0.019843935847282453,81.18089294433594,4.236879721749574,0.2612555019427094,0.6572068139910698,0.64182776,0.0017633309,0.0218089260160923,0.0018467777292244137,0.07,238.935398155212
16000,0.003006847109645605,0.0010207338333129861,0.5965712264180183,5.5052095907740295,0.0015658694203011692,0.517127007976174,4.610625805798918,0.020013450503349274,85.91534423828125,5.031769877066836,0.2753351889699686,0.6282165139913559,0.6113477,0.0016419388,0.03386852145195007,0.0017100356140872463,0.08,242.27867455291718
18000,0.004412923473864794,0.0010401651859283483,0.578499361872673,7.055892224889249,0.0014482133672572672,0.5230070896446699,5.522409861441702,0.020221041202545118,90.82872772216797,6.247553633293137,0.2551727062100539,0.5999919161200523,0.5884475,0.0015267757,0.006687463261187077,0.0016053656698204577,0.09,244.32771425628735
20000,0.0021237966138869524,0.0010308417081832898,0.5507940724492073,8.231367985717952,0.0012891162361484021,0.5155780773758897,7.023435167502612,0.02020412075519563,92.66822052001953,7.295214177342132,0.23148550165537737,0.5799164965748786,0.5656848,0.0013935608,0.0015362895792350173,0.0016408853844041005,0.1,239.69764960479745
22000,0.0015773560153320432,0.0009792624711990384,0.5263528361916542,7.304851233493537,0.0008841465765726753,0.3841089354753491,5.635722086299211,0.020043287992477416,66.0577392578125,6.399128372082487,0.11707419142499484,0.5489497199654579,0.53595287,0.0010423523,0.0020099817775189877,0.0012877920031314715,0.11,183.2177582397461
24000,0.0017935221549123526,0.000986782312393183,0.5210917666554451,7.175664359237999,0.0007293426504475064,0.3141373819708827,4.756965930573642,0.020008835196495073,60.48957824707031,5.763827531831339,0.0729318568711168,0.5475890338420868,0.52977717,0.0009243814,0.0022089360281825066,0.0012524962570751087,0.12,151.23043359375026
