train/mse,eval/R_mean,eval/sd_mean,eval/sd_low,eval/ci_range,eval/D_high,train/progress,train/epoch,train/time,train/theta_loss,train/gls_loss,train/sol_loss,eval/R_low,train/pde_loss,eval/R_high,eval/D_low,train/callback_time,eval/sd_high,eval/D_mean
0.023107147391745696,0.48998964,62.02177442209795,6.938230735249817,199.46424865722656,0.07830405663698832,0.1,20000,0.020838696455955652,0.006820471026003361,1777.3682233886716,3.1531073264860234,0.39963195398449897,9.2085061267829,0.5015628799796105,0.03515977906063199,0.0010036578059196563,158.47919322550297,0.06241904
0.026076732014399168,0.4656975,157.76251619160175,151.3693392276764,56.22738265991211,0.056196784041821955,0.2,40000,0.01950453077554728,0.0002913579810410738,2046.5809015563962,0.18059230790734462,0.45288389921188354,0.016760819899547034,0.4837690949440002,0.04846555273979902,0.0009782103896141048,161.76095716655254,0.052140087
0.02289098313702253,0.4749912,152.6187794625759,140.6404197216034,76.65274047851562,0.05708767501637339,0.3,60000,0.01962183369398138,0.00023540254915133119,1804.9894743164068,0.18407320508509903,0.4535954222083092,0.019576982053916336,0.49388859122991563,0.048997689969837666,0.0009749552249908414,161.27702295780182,0.05400677
0.02180412932159373,0.47962856,148.92413148134946,136.04822754859924,83.73944854736328,0.05699927564710379,0.4,80000,0.019071848833560973,9.633989247959107e-05,1715.1623818420373,0.18622513400986648,0.4543750241398811,0.025813736598962016,0.5008557438850403,0.04912593411281705,0.0009491890430450432,160.8695302158594,0.05390345
0.02100870932210243,0.4803626,146.68398119658232,133.73639918863773,86.48239135742188,0.05693280193954706,0.5,100000,0.019184501373767992,4.997942960471846e-05,1653.598475671395,0.16870422683469918,0.45490210354328153,0.01628796087153031,0.4996107012033462,0.0492091866210103,0.0009553507447242771,160.60850955545902,0.053643268
0.02066284815939147,0.48188403,146.31411691814662,133.90713706612587,87.01197052001953,0.05717796348035335,0.6,120000,0.019322601783275693,0.00040792551590129733,1621.528940802,0.16558272456899217,0.45545639991760256,0.014021224247605957,0.49854155778884884,0.04936148263514042,0.0009632097601890557,160.4084976017475,0.0539913
0.020517072286270727,0.48462206,145.01574515004953,133.96512977778912,86.8603515625,0.057235995400696994,0.7,140000,0.01936725866794592,5.654997221427038e-05,1606.6133658630285,0.18110951491631472,0.45590886995196345,0.010171892025670952,0.5082942247390747,0.04950080309063196,0.0009672320365905773,160.24035215377808,0.05432278
0.020359825306013036,0.4889259,144.3041092570339,134.12499353289604,89.32376861572266,0.05718080699443817,0.8,160000,0.019445691370964042,4.9254591431235895e-05,1572.4368331420992,0.16886045033335628,0.4565004460513592,0.0098214669872889,0.5213025406002998,0.049686718918383124,0.0009698114991188043,160.05738601088524,0.054322336
0.019650169965438467,0.49050987,143.7524450737983,134.33805741369724,92.42745971679688,0.057138108368963006,0.9,180000,0.01963429903984049,4.816725413547829e-05,1515.6837842956606,0.16412701267488228,0.4573422081768513,0.023121600220666637,0.5205123215913772,0.04990134937688708,0.0009742742896079999,159.93118435144424,0.054355096
0.01868040881343216,0.49174845,143.7940382324987,134.4859890639782,93.33379364013672,0.0581672047264874,1.0,200000,0.019467819452285522,3.250513691455126e-05,1456.8344185180722,0.16733677497506147,0.45843602269887923,0.018203187748568536,0.5200631663203239,0.050072071887552735,0.0009728990316390945,159.81091558933258,0.054707453
