eval/R_low,eval/sd_low,train/gls_loss,train/epoch,eval/R_mean,eval/M_mean,train/pde_loss,eval/D_mean,train/callback_time,train/progress,eval/sd_high,train/mse,eval/R_high,eval/sd_mean,train/sol_loss,eval/ci_range,train/theta_loss,eval/D_low,eval/D_high,eval/M_high,train/time,eval/M_low
0.41427081897854806,12.045573466457427,2154.520796142581,2000,0.5194983,1.0599476,1.0619194905608895,1.5676754,0.0010284700393676743,0.01,198.74326512217493,0.009814443998038769,0.5692684054374695,40.06220114650205,5.498416752934465,270.9314880371094,0.1510467380285263,1.2837758094072342,1.8617423206567765,1.2120073318481446,0.021295463442802455,0.5907380893826485
0.582085120677948,4.673173103947192,680.9353318481453,4000,0.6175818,0.56227845,0.2441876523122198,2.616999,0.0009812161922454845,0.02,11.707035242579877,0.007700979243963957,0.6308802843093873,8.068735413253307,1.5078896328806874,80.54886627197266,0.064803346991539,1.9145420014858245,3.5930276095867155,0.5840461283922195,0.02064417707920067,0.5483882859349251
0.6037477687001228,3.2574197102803737,471.0092990264886,6000,0.62102014,0.62151587,0.22535322892665857,4.775016,0.0009826519489288296,0.03,4.532509169075638,0.004677540622651577,0.6296103715896606,3.7921011456055567,1.0437296546995611,67.53582763671875,0.04803921654820442,3.721871089935303,5.868451356887817,0.6531517520546913,0.020588694691657947,0.5871721118688583
0.5694596216082572,3.097733430331573,377.46435125732614,8000,0.58388984,0.6742269,0.19457195345498612,6.8528113,0.000982995033264161,0.04,4.239144385792314,0.0037179305218160152,0.6034598395228385,3.3967091812519357,0.8298578811585899,65.1125259399414,0.020649872720241547,6.0114855647087095,7.514804685115814,0.6896944239735603,0.02057401096820837,0.6562253624200821
0.5429424911737442,3.3867364225443453,332.2788886795052,10000,0.5577856,0.6777344,0.20908592631667858,6.554452,0.000983906984329224,0.05,4.039900773204863,0.0034604056272655725,0.5722786828875541,3.623387734987773,0.7519703188538566,87.15473937988281,0.0729309543967247,5.3323609828948975,7.463591313362121,0.6913764774799347,0.02076608276367178,0.6588283255696297
0.524714608490467,4.1429192293435335,299.9253331069948,12000,0.53290063,0.6328324,0.18862555593810973,4.153827,0.0009807475805282575,0.06,4.982657951768488,0.0027916517574340105,0.5420775696635246,4.480553720146418,0.6860561439990963,87.56211853027344,0.005118146538734436,3.269231992959976,5.171051847934723,0.6558379709720612,0.020816112995147757,0.6088427737355232
0.5162406593561173,5.0179764977656305,297.77985725402965,14000,0.52344507,0.5855094,0.2044162598419936,2.6429036,0.0009848417043685903,0.07,6.252451171167195,0.0076337396167218685,0.529141454398632,5.621452348306775,0.6868831428289411,94.95287322998047,0.00406814506277442,2.1680153369903565,3.204934126138687,0.6066698133945465,0.020503905534744193,0.563906817138195
0.5117094308137894,6.259959703311324,288.7913695068358,16000,0.51888525,0.5429843,0.2252067798879001,1.8050327,0.0009785751104354854,0.08,7.364923530258238,0.004789821337908506,0.5263039901852608,6.743763720383868,0.6657213696241364,96.52787017822266,0.004808499477803707,1.523112028837204,2.1303641855716706,0.5625396519899368,0.02055718302726752,0.5240274623036385
0.5121201261878013,7.253243727609515,292.1202835464477,18000,0.51774865,0.5034067,0.22847245620191123,1.2815377,0.0009790354967117313,0.09,8.666401682421565,0.0034790863282978535,0.523315730690956,7.929900134913623,0.6721537847220895,96.35321807861328,0.010201701894402504,1.1020460695028305,1.4921455711126328,0.5218079298734665,0.02058478081226345,0.48577553406357765
0.5081860929727554,8.512301906011999,297.1363846435551,20000,0.51404774,0.46856537,0.2398824722887947,0.9553825,0.000984599590301513,0.1,9.170878445729613,0.002804928459227085,0.5198768764734268,8.800300318747759,0.6891005125641836,100.70098876953125,0.0021962393075227737,0.8384215697646141,1.0860313981771468,0.4845204122364521,0.020574378013610853,0.4529335848987103
