eval/R_high,train/sol_loss,eval/R_mean,eval/sd_high,eval/sd_mean,eval/D_high,train/time,eval/ci_range,eval/R_low,eval/D_mean,train/gls_loss,train/callback_time,train/mse,train/theta_loss,eval/sd_low,train/progress,train/pde_loss,eval/D_low,train/epoch
1.0598629921674725,7.607352980613709,0.4423594,196.9993487000462,36.22861713729799,0.9221084862947462,0.023979073524475203,455.299072265625,0.30132267251610756,0.13755824,2645.67070989991,0.0010142989158630352,0.018615029752254486,0.19666291773319244,10.187279991805553,0.01,86.62955873250968,0.035699396301060914,2000
0.40488107204437257,2.6436930773258305,0.3944521,9.90650923922658,8.439385844860226,0.06319641284644603,0.022988256692886382,199.58538818359375,0.3715560272336006,0.057989206,1095.5643105468755,0.0009474939107894893,0.008546855300664902,0.11029975116252899,7.287012378219515,0.02,3.471113513171677,0.04863533601164818,4000
0.3633200041949749,1.59776613649726,0.30240002,7.305956410709768,6.720152526395395,0.05022126222029328,0.02283791613578794,189.56008911132812,0.26423766613006594,0.031625267,635.3559903259256,0.0009437317848205556,0.006250270642340183,0.07536066323518753,6.378111580852419,0.03,2.0837003740221216,0.020815427973866464,6000
0.2631687842309475,1.2159907945394528,0.2550667,9.490611287765203,7.984592633321881,0.02035490544512868,0.022999576807022106,150.52865600585938,0.24610790684819223,0.018704697,483.11398197937035,0.0009476997852325447,0.006182193290442228,0.03152930736541748,6.883569760248065,0.04,1.6951147214174307,0.017242451198399067,8000
0.24839489348232743,1.199845821112396,0.24254748,11.80956473108381,10.558635239023715,0.017866415763273833,0.023192220568656958,152.37161254882812,0.23851368241012097,0.016904885,474.3213360443123,0.0009480987787246711,0.004778234753757715,0.015394026413559914,9.54293676186353,0.05,1.7042208449393532,0.01626277673058212,10000
0.24392230361700057,1.2181430158019062,0.23667122,13.709045550785959,12.447751654312015,0.017272506235167382,0.023156735062599083,153.61102294921875,0.2305259983986616,0.016375486,483.54883781433256,0.000945236802101136,0.007408051751554012,0.019380193203687668,11.31674770731479,0.06,1.6711437805183242,0.015812333114445208,12000
0.23515845239162445,1.2201212055087054,0.22886588,15.276735066436231,14.530585701577365,0.016852809861302376,0.023162145495414715,152.8543701171875,0.22426725849509238,0.015980195,487.5223120117182,0.0009493707418441763,0.005660118069499731,0.005845224484801292,13.717529061250389,0.07,1.6119329667277642,0.015212994394823908,14000
0.23269456140697004,1.1777020347416454,0.22610757,16.5895180311054,15.480641409289092,0.016178095340728758,0.023060285687446624,146.7096710205078,0.2213791910558939,0.014985503,475.2254350585943,0.0009462044239044173,0.008927569724619389,0.02882886305451393,14.516510837711394,0.08,1.5522709513977235,0.01406571080442518,16000
0.22876685634255406,1.1437771663367666,0.22098789,16.814103769138455,15.652544997166842,0.015197997190989552,0.02328051555156704,144.7885284423828,0.2144854199141264,0.013999233,459.5112309112547,0.0009501867294311518,0.0064901867881417274,0.002309192903339863,14.91498330142349,0.09,1.4545656867995862,0.013038370618596673,18000
0.42781653478741644,2.769382214486594,0.32040212,45.92940537258982,18.29208988370374,0.049149802792817346,0.023236015439033548,248.14566040039062,0.21261141523718835,0.028078334,1147.8556441497817,0.0009497219324111921,0.01003587432205677,0.0025682563427835703,13.15280117560178,0.1,1.5119791367352065,0.012732148123905062,20000
