train/sol_loss,train/gls_loss,train/pde_loss,eval/ci_range,eval/sd_low,eval/D_low,eval/D_mean,eval/R_low,eval/sd_mean,eval/R_high,train/callback_time,eval/sd_high,eval/D_high,train/progress,train/epoch,train/time,eval/R_mean,train/mse,train/theta_loss
4.499190025657422,1551.553706146236,41.231177813649225,289.91259765625,6.66257138364017,0.016294890874996783,0.1652922,0.4193344503641129,31.198930851416662,1.0401889652013778,0.0010587426424026529,158.43972191214536,0.9300028577446937,0.01,2000,0.023067672014236436,0.58609587,0.004661874379962683,0.1314059942960739
0.6757971252799034,317.04586785888625,1.8264398638904085,67.66719055175781,4.574526008218527,0.012840686459094286,0.015422148,0.5736482366919518,5.240572394803166,0.655385360121727,0.0010085631608962992,6.438881438225508,0.017659577168524263,0.02,4000,0.022192274332046562,0.6184196,0.002759282011538744,0.05429273098707199
0.5077676688432684,235.77986128997833,0.5880174295455204,47.25931167602539,4.54070552950725,0.01190995224751532,0.012266825,0.5957168504595757,4.621925742132589,0.6547323375940323,0.00098944842815399,4.73345413338393,0.012720142654143273,0.03,6000,0.0221997373104096,0.62671405,0.0026020037475973368,0.05483934283256531
0.5127691120058285,235.79773847961488,0.3664491487611089,65.45439147949219,4.736547183711082,0.011858831904828549,0.012144977,0.5462579354643822,5.176593130454421,0.5900540128350258,0.0009920673370361287,5.842887714970857,0.012808271194808185,0.04,8000,0.022309921741485623,0.5643275,0.0026928565930575132,0.20268461108207703
0.5746943857818839,256.6521238098145,0.30118490211665677,84.32145690917969,5.697357060853392,0.012020701519213617,0.012253443,0.5191578805446625,6.413229116005823,0.544904500246048,0.0009890892505645768,7.187990902457386,0.013112566270865498,0.05,10000,0.022088000059127838,0.53191006,0.004577241372317076,0.2775283753871918
0.6636343771219253,289.7239208297729,0.3156655089464031,95.97586059570312,7.309378311038017,0.012194092525169254,0.012422924,0.4915267534554005,8.63644221634604,0.5207596063613892,0.0009856764078140215,9.59924841299653,0.012905324622988702,0.06,12000,0.022201298713684127,0.5052487,0.004427304957062006,0.007991956546902657
0.6814548296928398,295.71079862213077,0.3171876385230567,96.79977416992188,9.650379396043718,0.012409097491763532,0.012655485,0.4603486269712448,10.210514923091978,0.49292966425418855,0.0009950296878814707,10.82792712841183,0.012951401760801673,0.07,14000,0.022021427631378213,0.47656685,0.004024020396173,0.01130641344934702
0.6832750880569203,299.2097801055918,0.33424356551654566,106.8575668334961,10.94729274045676,0.01278707382734865,0.013031909,0.43174722269177435,11.990443710237741,0.45956877917051314,0.0010026865005493143,12.996756890788674,0.013331780768930912,0.08,16000,0.022115518927574154,0.44593546,0.004633252043277025,0.012075841426849365
0.6728878222107884,298.22265732574556,0.3333967406796295,108.91168212890625,12.848599092103541,0.012894533155485988,0.013240208,0.3963286004960537,13.349132708273828,0.4331770956516266,0.0009994742870330802,14.10894978325814,0.013743984955362975,0.09,18000,0.022208106279373228,0.41727644,0.002905370434746146,0.008574604988098145
0.6539875432401888,297.10715453338656,0.3208335076477379,104.87528991699219,13.923117937520146,0.012523391027934849,0.013111057,0.357928442209959,15.241500618867576,0.3982802979648113,0.0009979009628295907,16.644961712881923,0.013858766900375484,0.1,20000,0.022236153125762898,0.37737653,0.0030215911101549864,0.012263002805411816
