eval/R_low,train/time,eval/sd_mean,train/theta_loss,eval/D_mean,train/progress,eval/ci_range,eval/D_high,train/sol_loss,train/pde_loss,train/mse,train/gls_loss,eval/D_low,eval/sd_low,eval/R_high,train/callback_time,eval/R_mean,train/epoch,eval/sd_high
0.30056176856160166,0.02666950559616084,43.36276607820764,0.17148597538471222,0.21077462,0.01,358.27362060546875,1.1826094269752503,6.074204677641381,54.31876170039191,0.007026124745607376,2204.03433178712,0.017915894277393818,13.827953767031431,0.9448918193578718,0.0011304917335510252,0.533723,2000,217.31775775551762
0.5099634811282158,0.025308505415916515,12.75664017116651,0.0625024065375328,0.020781834,0.02,28.539249420166016,0.022508009755983948,1.3706372287869462,2.806743495225915,0.007295546121895313,645.6943851013173,0.018319919286295772,11.338196322321892,0.5593690022826194,0.0010434343814849853,0.54756325,4000,13.750238227657974
0.3892233960330486,0.02534486937522896,8.87340716458857,0.04272818565368652,0.018936329,0.03,117.1155014038086,0.022515510302037002,1.2129508926868398,1.1075948258787416,0.003956908360123634,549.3846950378405,0.015423444309271872,7.489807589445263,0.5051604434847832,0.001042626738548279,0.44073907,6000,11.13657949026674
0.3774351246654987,0.025223733305931074,7.448142473353073,0.026950055733323097,0.014677361,0.04,100.42118072509766,0.017560003884136668,0.6970858497470623,1.0086593245826687,0.002310054376721382,325.3216536331161,0.013607440912164748,6.740700628142804,0.4141424663364887,0.0010405693054199223,0.3886541,8000,10.037320130504666
0.37426022812724113,0.025216700673103314,6.924452968873084,0.024361208081245422,0.014687185,0.05,89.51235961914062,0.015272305533289909,0.525806418448686,0.6078640947639938,0.002747650956735015,240.73401358795147,0.013997593754902482,6.761369574815035,0.3926816754043102,0.0010362672805786142,0.38420418,10000,7.169352541677654
0.36798176914453506,0.025624927163124013,6.850308350287378,0.019870642572641373,0.015808325,0.06,95.7048568725586,0.01644748291000724,0.5681702830940463,0.5394414623752233,0.0035178465768694878,253.90132544708234,0.015174692100845277,6.727118056733161,0.3826662704348564,0.0010585037469863872,0.37565097,12000,7.003063103184104
0.37045196890830995,0.025882406353950525,7.115721543319523,0.01905137673020363,0.016534127,0.07,100.71700286865234,0.016889343876391648,0.5944495446383946,0.5370898712631293,0.003521356964483857,265.3123053512581,0.01620747521519661,6.7565703531727195,0.38514432981610297,0.0010676954984664936,0.37818733,14000,7.7534526702947915
0.3714043855667114,0.02549707198143011,8.731325982837006,0.07113464921712875,0.016719913,0.08,103.9124755859375,0.01714487299323082,0.6241857731491338,0.5620925882346938,0.0035794044379144907,279.1528070220943,0.016429568408057094,7.842527097091079,0.3887213170528412,0.0010449206829071039,0.38035083,16000,9.272063570097089
0.37163529768586157,0.02550641751289367,8.855291883926839,0.006657831370830536,0.016821759,0.09,105.21566772460938,0.01721509830094874,0.6431825098097324,0.5639225054662684,0.003912817686796188,283.5642233123788,0.016475654346868394,8.495383337140083,0.3894375585019588,0.0010454306602478017,0.38044837,18000,9.219342865981162
0.3695696048438549,0.025990469574928288,8.649799384176731,0.022473961114883423,0.01661831,0.1,103.56010437011719,0.017312270868569613,0.6514326616823671,0.5660652260258802,0.0031965216621756554,287.90414743804934,0.016178783634677528,8.345812791958451,0.386304697394371,0.0010663377046585105,0.37737817,20000,9.127981076017022
