eval/sd_low,train/pde_loss,train/time,eval/sd_mean,train/sol_loss,train/mse,eval/sd_high,eval/D_mean,eval/R_mean,train/gls_loss,train/progress,train/epoch,train/theta_loss,eval/R_low,eval/D_low,train/callback_time,eval/ci_range,eval/R_high,eval/D_high
5.380203435197473,4.109403095679541,0.020571245789527775,24.753992663510143,2.7591416732460448,0.015365703387255937,108.7816173210739,0.053379614,0.5560479,1187.5396399688677,0.1,20000,0.0007902785437181592,0.3611059628427029,0.02911580544896424,0.0010153875827789293,186.46432495117188,0.5783744707703591,0.17146090008318246
110.45687720179558,0.010171549879363771,0.020258422076702247,118.2366629820317,0.19192860894873798,0.015013916745083334,124.43232219666243,0.03770251,0.5554624,1202.3020156066739,0.2,40000,0.00020498273079283535,0.5380866065621376,0.03512110747396946,0.000982303822040549,47.305171966552734,0.5747147262096405,0.040038897469639775
111.29364240914583,0.005912827578804023,0.02043017094135273,118.9458355229348,0.16741980356313224,0.014546282617887464,124.5843343436718,0.037954185,0.5560339,1153.6097563049402,0.3,60000,0.00011627791536739096,0.5388635009527206,0.035301180090755224,0.0009931794166564852,46.46989059448242,0.57371806204319,0.040073692612349984
110.84382683038712,0.006439657901530174,0.020387653732299574,119.23348784409464,0.16049436222799052,0.014316636358294688,125.66596120595932,0.03811575,0.557389,1136.0246307678176,0.4,80000,0.00014318511239252985,0.5398828133940696,0.03559622522443533,0.0009993992447853025,55.27289581298828,0.5717722371220588,0.039624877460300925
108.08423925191164,0.007845420637878195,0.020475175130367253,117.0565936994739,0.17813352549075945,0.013749792752368501,125.36066696047783,0.038059328,0.5587281,1067.0443884704412,0.5,100000,0.00010210999607807025,0.5405477076768875,0.0358366877771914,0.00100411517620086,62.0419807434082,0.5712438851594925,0.04007115429267287
108.24421662837267,0.006721600307896724,0.020522752082347717,117.23878967478872,0.17741618895605293,0.013983674754481722,125.15743300318718,0.038651515,0.5599994,1083.5363008117577,0.6,120000,7.2503047704231e-05,0.5409979596734047,0.035966751538217066,0.0010064257264137243,66.57972717285156,0.5723483681678772,0.04238421125337481
108.38588047772646,0.006609912177093808,0.02050309730768221,117.32644996338834,0.17581602403447102,0.01384437367594794,125.00799372792244,0.03891583,0.5622101,1061.2311930969192,0.7,140000,5.548390618059784e-05,0.541625851392746,0.036115074530243874,0.00100413805246353,70.47676849365234,0.5803236395120621,0.04231112757697701
108.57161805033684,0.006980080775229731,0.0205342590093613,118.74266212614519,0.16949754405170542,0.014593880374636482,133.09401758015156,0.038814224,0.56420016,1084.3751751647997,0.8,160000,4.78881920571439e-05,0.5423617258667945,0.03612978253513575,0.0010070529937744133,80.90249633789062,0.5816749960184098,0.042257886938750745
108.66855084896088,0.005698709971457708,0.020574109315872294,120.40296608940699,0.17598155368864526,0.014859887008415585,136.49573735892773,0.03853182,0.5666063,1106.5176580749467,0.9,180000,4.0547409298596904e-05,0.5433098539710045,0.03607923882082105,0.0010098162531852674,82.77595520019531,0.5908884465694427,0.04214759999886155
108.77536851912737,0.006294327255396657,0.020402145493030727,121.27364972709782,0.16122882518172255,0.01446041505262255,136.16818338632584,0.038421996,0.56619954,1097.2731988403332,1.0,200000,4.0517537854611874e-05,0.5441766917705536,0.036106291320174934,0.0010075471162795978,82.7315673828125,0.5907243028283119,0.04170201504603027
