eval/R_low,train/pde_loss,train/epoch,eval/M_mean,eval/D_low,eval/M_low,train/progress,train/callback_time,eval/ci_range,eval/M_high,train/mse,eval/R_high,eval/R_mean,train/sol_loss,eval/sd_mean,train/time,train/theta_loss,train/gls_loss,eval/D_mean,eval/sd_high,eval/sd_low,eval/D_high
0.3600184224545956,1.997440464317795,2000,0.6312758,1.015943455696106,0.4478443905711174,0.01,0.0010436861515045234,434.4955749511719,1.0476470232009887,0.02826084941625595,0.4875819265842437,0.41354045,12.47664688873289,39.49582303012721,0.025030273318290722,0.17993365228176117,4335.436116027833,1.6099937,212.04746030271022,7.2938609519042075,2.2206845939159394
0.4920936435461044,0.6553459859713908,4000,0.4940666,2.0880687177181243,0.48280282095074656,0.02,0.0009782401323318484,81.03081512451172,0.5014928221702576,0.02001310884952545,0.5093563303351403,0.50488627,4.079041025161748,5.388979749055579,0.024158436298370393,0.04460214450955391,1698.0982277832002,2.2042556,6.963176105637103,4.502784216310829,2.251981717348099
0.4885004982352257,0.8053016041591777,6000,0.462467,1.6305039823055267,0.4410961866378784,0.03,0.000989207029342652,113.27220153808594,0.48438553661108014,0.01970071718096733,0.5148661226034165,0.5077133,3.6465902686119045,4.404087393544614,0.02437707316875451,0.027556590735912323,1522.0173296508756,1.8707529,4.667157155927271,4.267102375160903,2.0700728476047514
0.4288905791938305,0.9685415426380951,8000,0.42879438,1.2397730678319931,0.41692183166742325,0.04,0.0010164783000946103,160.1600799560547,0.44482286125421516,0.01592072658240795,0.4863114506006241,0.46312597,3.5676677604913647,6.1050389593001455,0.02586402940750128,0.009562890976667404,1501.4415586547818,1.4300271,11.968036089092491,4.454826260916889,1.6284625768661498
0.4315421372652054,0.8540199277065709,10000,0.40211698,1.0778758555650712,0.38395597860217096,0.05,0.0010313857793808005,145.61094665527344,0.4225049279630184,0.01590585522353649,0.4543462015688419,0.43987432,3.18292737317086,7.627483607036993,0.02620218634605403,0.01540137268602848,1349.8195237426748,1.1898841,10.87825866416096,6.121244747191668,1.314347895979881
0.4315029688179493,0.7564091114327322,12000,0.37379992,0.9325775071978569,0.3627364136278629,0.06,0.0009891757965087894,119.55713653564453,0.3867188051342964,0.015184304676949978,0.43824543580412867,0.4348776,2.7500439808368675,9.555785286007449,0.024366391181945724,0.007640551310032606,1182.7249221801733,1.0081968,12.084381864406168,7.932834466919303,1.0927210301160812
0.4291230797767639,0.7827047504521906,14000,0.3545127,0.8037101745605468,0.34316379949450493,0.07,0.0009908051490783707,128.4193572998047,0.36905943900346755,0.02784251980483532,0.439880134165287,0.4334481,2.614702115654944,16.227481501176953,0.024534864425659168,0.006841650232672691,1143.2056331176789,0.8680741,20.971658546477556,12.027040938846767,0.9396732315421105
0.4226759038865566,0.7548119747173074,16000,0.3372336,0.6996231615543366,0.32910743057727815,0.08,0.0010438244342803964,125.37905883789062,0.3460290588438511,0.012551291845738888,0.43528093844652177,0.42848158,2.3404733062982555,30.170775060541928,0.02680352330207823,0.0016343410825356841,1081.8443934631343,0.7513927,40.487112663686275,21.785126067698002,0.8034352213144302
0.4145619094371796,0.6796588093433527,18000,0.32757357,0.6333322405815125,0.32260446399450304,0.09,0.0010143524408340453,128.35450744628906,0.3329809233546257,0.012905718758702278,0.42880967929959296,0.42160276,1.7893339440226494,58.23614635132253,0.025384646534919748,0.0012936923885717988,1045.8044430847158,0.6703469,74.02599602937698,42.34067425131798,0.703578132390976
0.3921313941478729,0.39605273837968596,20000,0.320265,0.5570254474878311,0.3175291419029236,0.1,0.0009914102554321293,114.16828155517578,0.3235743410885334,0.014379870146512985,0.4141221046447754,0.405053,0.8743039683103546,93.90887849032879,0.024282950878143306,0.0008936142548918724,1069.811133178709,0.5908811,108.72175060212612,76.28668006509542,0.6285367891192436
