eval/D_mean,eval/D_low,train/theta_loss,train/pde_loss,train/callback_time,train/mse,train/gls_loss,train/progress,eval/ci_range,eval/D_high,eval/sd_low,train/epoch,eval/R_mean,eval/R_high,train/sol_loss,eval/R_low,train/time,eval/sd_high,eval/sd_mean
0.04242901,0.01653917063958943,0.0010661884443834424,5.637158952943842,0.0011189272642135855,0.009934413404017751,821.3877311294534,0.1,152.53494262695312,0.1440908864140493,4.245491314213723,20000,0.59796774,0.6329150497913361,1.9364440677344634,0.5194150820374489,0.02239333175420771,45.81545358523725,12.915262290206737
0.029723706,0.027924099331721665,0.00018881841970141977,0.027644673026306424,0.001090832805633537,0.010068448047200173,855.4703786071675,0.2,49.349639892578125,0.03107804311439395,56.33332096040249,40000,0.56571466,0.5891615808010101,0.2788399213328962,0.5479762509465218,0.02242726361751534,106.40658400952816,92.8164263535291
0.030976126,0.02811124324798584,0.00022563386301044375,0.009325588074349692,0.001104488003253946,0.009497099514352294,809.135792346191,0.3,54.09029769897461,0.03327550804242492,62.200191989541054,60000,0.56849295,0.5887704610824585,0.17064988686218743,0.5489508494734764,0.02262980633974063,105.29301147907972,92.13378489818425
0.030741611,0.028213033033534885,0.00014221262244973332,0.013422755549382446,0.0011115626096725422,0.008847124669561201,753.6938439819298,0.4,58.02230453491211,0.03323529046028852,69.15734298527241,80000,0.56649524,0.5881608545780181,0.17500725242346604,0.5411585599184037,0.022667798292636793,104.10231053829193,89.39737825517854
0.030105868,0.02734824880026281,0.00018967162759508938,0.016365530833788455,0.0011134820342063947,0.008313277779519538,709.6882119781526,0.5,65.19440460205078,0.03318801196292043,77.33588330447674,100000,0.55436677,0.587610001862049,0.15842716356739436,0.5016447067260742,0.022577042341232537,102.20207814127205,88.45587308024987
0.029730283,0.027335985330864787,5.682684786734171e-05,0.013200166527461279,0.0011110402345657297,0.007698439167370074,659.6110390746993,0.6,68.34832000732422,0.033135549165308475,81.4687505364418,120000,0.5461011,0.5870313853025436,0.1660785400509816,0.5028467446565628,0.02259583728313456,101.16661991924047,87.8458950549364
0.029597178,0.02735576555132866,5.5307387810898945e-05,0.013686265068105493,0.001117668199539175,0.0075743831518339175,643.5049793060326,0.7,71.52518463134766,0.03308374248445034,79.27843257784843,140000,0.541204,0.5863191559910774,0.16856093580722706,0.5036181047558784,0.022736348676681624,100.67503917962313,87.43816780950874
0.029379454,0.027353933826088906,4.958271165378392e-05,0.015783193891076484,0.0011212040424346946,0.007211947347992117,601.6490624359136,0.8,74.23578643798828,0.03291440801694989,79.66708578169346,160000,0.5386163,0.5858164459466935,0.16660653544366458,0.5041993841528892,0.022827443110942904,100.36908183246851,87.0246679998402
0.029217575,0.0273695342708379,4.324218025431037e-05,0.012897170451260166,0.0011232478618621695,0.00702511429528236,585.7539483764615,0.9,75.01200866699219,0.03279230771586299,80.23380618542433,180000,0.5356706,0.5854752212762833,0.15877691741809058,0.5048749655485153,0.02276327713727946,100.03377348184584,86.55761310798115
0.029285397,0.027388425078243017,4.024142981506884e-05,0.010824639031640241,0.0011184166431427054,0.006877853782963957,577.7161995513953,1.0,75.56329345703125,0.032681998517364266,79.36391178518534,200000,0.5338154,0.5851605579257011,0.14814972322583217,0.505338728427887,0.02272683395147331,99.63213820010422,86.17194189089868
