train/pde_loss,train/theta_loss,train/mse,train/time,train/callback_time,train/sol_loss,eval/D_mean,eval/sd_mean,eval/D_high,eval/D_low,eval/R_high,train/progress,eval/sd_low,eval/ci_range,eval/sd_high,eval/R_low,train/epoch,train/gls_loss,eval/R_mean
43.916351562738214,0.174337700009346,0.004916244186460972,0.020520541667938198,0.001019698381423946,4.550764046221988,0.13571292,30.46274646744132,0.8539131060242651,0.018089777836576105,0.9656244575977325,0.01,8.193644089624286,335.44232177734375,173.96233417093717,0.475716145336628,2000,1520.7329457702638,0.5695209
2.6599548879861907,0.08635353296995163,0.005090991035103798,0.019545846939086908,0.0009620660543441766,1.0252242591679077,0.0199378,6.859631710452959,0.02093620328232646,0.01850906661711633,0.5220424219965935,0.02,5.283522454556078,77.91105651855469,8.145477971993387,0.4719844736158848,4000,469.39621052551223,0.49124858
0.7431765103340133,0.03519367054104805,0.0026478709187358618,0.019473700523376537,0.0009618875980377222,0.8303769084215177,0.020432994,4.037327397149056,0.02122490555047989,0.018575139809399843,0.6258873656392098,0.03,3.311262431088835,92.67721557617188,5.136508960276842,0.4777396783232689,6000,379.0051568145754,0.5263272
0.3943153428025545,0.02866022288799286,0.0022262807469815016,0.019596214890480013,0.0009594403505325325,0.599247051090003,0.016798493,3.4009421064984053,0.01826207535341382,0.015896000899374485,0.6887133315205574,0.04,3.2099530624691397,88.50079345703125,3.79684196668677,0.6321976259350777,8000,264.9903014373788,0.6644487
0.3283960115388028,0.022683611139655113,0.002409914042800665,0.01966042006015782,0.0009604959487915023,0.6073161754012126,0.01569984,4.194749281625263,0.01599661661311984,0.015460496069863439,0.712175378203392,0.05,3.783423703862354,101.28582763671875,4.6497683506459,0.6893810197710991,10000,263.7992896652211,0.70292205
0.2749545217081904,0.009315569885075092,0.002193394349887967,0.019424445390701296,0.0009576593637466438,0.6019445170909158,0.015657032,5.3780017998069525,0.01688313451595604,0.01535633287858218,0.7104779928922653,0.06,4.662688530515879,101.7469253540039,6.238531216513365,0.6770823553204537,12000,261.3082613983152,0.6964216
0.31170234488137,0.015760937705636024,0.002507273806259036,0.019426490545272818,0.0009558480978012086,0.6451513492912067,0.015995111,6.4606890003196895,0.016624999418854713,0.01557318321429193,0.6813251450657845,0.07,5.939377297181636,109.1527099609375,6.956051022280008,0.6403332933783531,14000,278.5495296401972,0.6605977
0.30700866503082197,0.005599132273346186,0.002517044311389327,0.01940892326831817,0.0009612774848937998,0.6547374194711456,0.016584123,7.672978152288124,0.017142203543335198,0.016122289141640066,0.6425493732094765,0.08,6.977031426504254,110.155029296875,8.380572008900344,0.6102189689874649,16000,284.7104515228274,0.62608314
0.32669427074957663,0.0077664535492658615,0.002827468328177929,0.019388709545135524,0.0009607657194137557,0.652048566073177,0.01743124,8.762094475794584,0.018033217592164873,0.016863774321973325,0.6127234607934952,0.09,8.301472989842296,114.50458526611328,9.26218235399574,0.5778241753578186,18000,285.61025828552175,0.59527427
0.35580279639642753,0.012155501171946526,0.0029055268969386816,0.01947630548477173,0.0009620943069458014,0.6360731893628851,0.017967599,10.309814706910402,0.018585813138633965,0.017461722204461693,0.5834117025136948,0.1,9.21762844081968,114.76949310302734,11.842132755555212,0.5529483035206795,20000,285.42709804534763,0.56880134
