eval/M_mean,train/mse,train/epoch,train/sol_loss,eval/D_mean,eval/D_high,train/pde_loss,eval/R_low,train/gls_loss,eval/sd_low,train/theta_loss,eval/sd_high,train/time,eval/M_low,train/progress,eval/ci_range,eval/M_high,eval/R_mean,train/callback_time,eval/D_low,eval/sd_mean,eval/R_high
0.7646732,0.003508182464481811,20000,0.7847628436669625,6.0944757,20.233151531219473,1.1116281149217087,0.7513787463307381,327.01023492355597,2.386569551890716,0.006743918173015118,20.059495279565358,0.021568164813518583,0.6249002069234848,0.1,81.94581604003906,1.0409189879894256,0.84145314,0.001031027805805198,1.3102609187364578,5.883441909262911,0.863987946510315
1.0903357,0.002350511107908089,40000,0.4316952964603892,134.24158,227.54851264953612,0.03434806058905102,0.8465957954525948,220.13907847518715,2.9630160657688975,0.00022664655989501625,4.590173764154314,0.02195778181552871,0.9164353892207145,0.2,22.788436889648438,1.1709540069103241,0.8529333,0.001027182996273042,26.14372138977051,3.3903327080537564,0.8597008496522903
1.1477693,0.002229823729652002,60000,0.3909568488389234,227.1995,381.5268898010254,0.029698029584298,0.842899252474308,209.94159201660324,2.970454515889287,0.0003698902146425098,14.581287675537169,0.02196904144287117,0.9359571248292923,0.3,19.63157081604004,1.2275792568922044,0.8502384,0.0010406197786331163,30.800216817855837,6.724253866815706,0.8589984357357026
1.1822785,0.0022281505077844767,80000,0.32648125369996234,298.74985,479.4087562561035,0.020585971189243876,0.8425895661115647,212.3947053054805,2.9776011710055172,0.00010535978799453005,24.064942542463545,0.02149379919767368,0.9547833427786827,0.4,19.187400817871094,1.2664240807294846,0.8496752,0.0010267970800399762,35.897580814361575,11.098110416713947,0.8582570433616639
1.2121499,0.0022390551693853957,100000,0.2578399586737146,375.78442,809.2203018188476,0.015983524058526398,0.8321986690163612,217.50632495880285,2.9852517298422754,4.8852314648684114e-05,31.628099642693996,0.021934584188461104,0.9711108356714249,0.5,20.680644989013672,1.3490263313055038,0.8467912,0.0010450322151184003,41.3476058959961,15.377403435643647,0.8576222151517868
1.243702,0.0022245992695679923,120000,0.2287977022588226,499.1062,1115.6607849121094,0.02095428245835925,0.8311594113707542,219.60918241043035,2.9918725369498134,0.00010485896928003058,34.07694911584258,0.02192874889373793,0.986531613767147,0.6,21.303409576416016,1.3814170807600021,0.8449006,0.00104566023349762,47.24471092224121,18.736200635766146,0.857094033062458
1.2707899,0.002220933236193397,140000,0.18386120672002418,645.34686,1604.645230102539,0.015006056091678346,0.8315212517976761,220.38792344512686,2.998502313857898,8.600476576248184e-05,36.34651489555836,0.022089055132866,1.0014791190624237,0.7,22.964401245117188,1.424538493156433,0.8453377,0.0010430260181426962,53.439132404327395,21.555475725417878,0.8566993027925491
1.2951005,0.0022475396253401583,160000,0.16289288162440055,808.7445,1928.1088012695307,0.01729276059090637,0.831802761554718,226.03210516738696,3.005821956321597,5.4833384638186544e-05,38.07703861966729,0.02160606205463409,1.0146515250205994,0.8,24.363210678100586,1.452280905842781,0.8464235,0.001028249955177305,59.59857902526857,23.76800991842091,0.85691809207201
1.3183429,0.002246402718429488,180000,0.16387565427124473,1020.4574,2742.4498229980463,0.011934352860110815,0.8320829585194588,226.87472537918188,3.0151251528877765,2.9578224712167867e-05,38.15587302669883,0.022090148091316555,1.026407864689827,0.9,24.7792911529541,1.4906765401363373,0.8456822,0.0010487650990486125,66.03970012664794,25.38610276563413,0.8566761285066604
1.3349763,0.002200185097649194,200000,0.15217938957884894,1167.6725,2719.966412353516,0.010685007704538337,0.8323276564478874,218.37826562423638,3.025768609950319,2.3095019059837796e-05,38.49524678662419,0.022200436437130124,1.037176278233528,1.0,24.62066650390625,1.4900327175855637,0.8456166,0.0010548627853393664,72.4844108581543,26.755490006008444,0.8564641803503037
