train/gls_loss,train/mse,eval/ci_range,train/callback_time,eval/M_mean,eval/sd_low,train/time,eval/sd_high,train/epoch,eval/R_mean,train/progress,eval/D_mean,eval/M_low,eval/R_low,eval/M_high,eval/D_high,eval/R_high,train/sol_loss,eval/sd_mean,train/theta_loss,train/pde_loss,eval/D_low
575.7628456542959,0.007068671418563504,121.68065643310547,0.0010771608829498358,0.7994527,2.8704204596579075,0.02277134202718722,23.763449117541185,20000,0.62842333,0.1,14.592283,0.5477212280035019,0.479741145670414,1.2824431777000427,25.56030993461609,0.6520293861627579,1.4042615873426327,8.147696280060336,0.0015273349126800895,2.6754501715589214,1.494509118795395
411.3396227966268,0.004986415745946604,30.070344924926758,0.0010606856584549065,0.84712595,5.132654646877199,0.022605297601223224,26.78240966051817,40000,0.64395946,0.2,30.612156,0.7859440103173256,0.6365229547023773,0.9026056870818138,45.34595060348511,0.6485741898417473,0.8829292847722817,11.495032901340164,0.00022663778509013355,0.1645232940796785,17.102411317825318
389.1562027038599,0.004757220049388807,34.202579498291016,0.0010139040112495455,0.87320256,5.177013447973877,0.021569532132148725,58.3154184743762,60000,0.6523902,0.3,38.15709,0.7908612221479416,0.6381456613540649,0.9108226165175438,48.178219604492185,0.6693284124135971,0.3769039783254259,29.88606923270272,8.493109635310248e-05,0.07054915823507996,18.388475275039674
392.1994511901887,0.004879249478946397,34.66633605957031,0.000980801439285288,0.8809065,5.22542359540239,0.02076395589113268,63.35207913070917,80000,0.6590656,0.4,40.361923,0.7947093427181244,0.6390984117984772,0.9104441434144974,48.55739641189575,0.6767339870333672,0.17757591841667908,39.87637774491838,5.155679536983371e-05,0.020325480842916382,18.76963429450989
398.43261567993295,0.004933307417808135,37.87892532348633,0.0009895397305488567,0.887929,5.275152181275189,0.021060547578334848,63.19620572030544,100000,0.66135764,0.5,41.819195,0.7982793673872948,0.6397699490189552,0.9191208034753799,48.60700740814209,0.676417951285839,0.15204137376546928,44.73988948846818,5.702310591004789e-05,0.022719074549572577,19.07981104850769
393.8636946746869,0.004916097747301735,40.19184112548828,0.0009976947307586586,0.89235896,5.304782523307949,0.021295205450058058,63.07454723864793,120000,0.66408604,0.6,42.631905,0.8018461540341377,0.6404697671532631,0.9212452203035355,48.75962467193603,0.6806988954544068,0.1763994745790956,47.436746154171416,2.7681067876983434e-05,0.028357458534534294,19.428201055526735
391.5226846374508,0.0049050257038557475,41.86476516723633,0.0009954589962959354,0.8973137,5.333343055099249,0.021182217895984578,63.14881928265095,140000,0.6656983,0.7,43.99907,0.8049035996198655,0.6410175070166588,0.940543745458126,59.7343765258789,0.680829943716526,0.16218881948664648,49.68538365789767,3.5554512578528374e-05,0.024499956961744642,19.861659431457518
377.20035649413944,0.0046381298668217085,43.23154067993164,0.0010017432928085429,0.90547127,5.362275755032897,0.02136647584438318,63.13588619232178,160000,0.6664643,0.8,47.483315,0.8074313327670097,0.6415567919611931,0.9703510075807571,76.90366001129149,0.6806283071637154,0.1642386673331258,51.33594834568046,2.374381983827334e-05,0.029391921445331644,20.38481421470642
362.3821949722252,0.00445949056001847,44.540897369384766,0.0010054068326950092,0.91537726,5.396565375849605,0.021323482918739072,63.16810995340347,180000,0.66503364,0.9,52.450375,0.8100026071071624,0.6419875860214234,0.9894546285271645,90.93585758209228,0.6804128929972648,0.16242133002951817,52.542143431774456,2.2686688680551015e-05,0.034725089321355165,21.154161548614503
352.8560509933449,0.004385352617106449,44.65997314453125,0.0010089343428611687,0.92280304,5.431338516063988,0.021378338944912,63.129909336566925,200000,0.6652487,1.0,56.31888,0.8124288052320481,0.6423834547400474,0.9900515288114548,91.3649127960205,0.6801871851086616,0.15694414890780953,53.45239191757153,1.9080351194133982e-05,0.02938616843735791,21.730941772460938
