train/epoch,eval/sd_high,train/mse,eval/D_mean,eval/sd_low,eval/R_mean,train/theta_loss,eval/R_high,eval/D_high,train/callback_time,eval/ci_range,train/pde_loss,eval/sd_mean,train/gls_loss,train/progress,eval/D_low,eval/R_low,train/sol_loss,train/time
20000,21.552914800122196,0.010327684619929573,0.04817359,3.333212749566883,0.61066484,0.0029472215101122856,0.6331894159317016,0.25096148699521637,0.0010209267139434824,156.52737426757812,5.40630709329253,6.521090955287218,857.0326374084511,0.1,0.018966013193130495,0.5271668419241905,2.059515780237312,0.020332563674449626
40000,92.58526097983122,0.009342511763097812,0.029484745,6.085717026144266,0.58855265,0.0002460236137267202,0.6322770521044732,0.03037074520252645,0.0009903054356574974,69.02156829833984,0.08557833558726162,63.890564850647934,775.6388040100155,0.2,0.028382311295717954,0.5674012750387192,0.7691489238418705,0.020145582616329146
60000,95.32782211899757,0.009488604066288134,0.029068243,6.429611018393189,0.5880985,0.00012361665721982718,0.6314597338438034,0.030319232027977705,0.0009959421277046063,63.488548278808594,0.011579160130163592,78.48980171714211,778.0195596527077,0.3,0.027544015692546962,0.5685260072350502,0.1614966160628941,0.020267357099056096
80000,94.94133107364178,0.009432575060334184,0.028746415,7.1248632040806115,0.58739865,0.00012887349294032902,0.6307506576180458,0.030256182188168168,0.0010022685170173596,64.43280029296875,0.01313309507824022,82.5542979333317,770.9667453643744,0.4,0.027232884196564555,0.569272568821907,0.17614502700343665,0.020169742655754046
100000,103.17209325730799,0.009642732598772285,0.028357513,8.160033402964473,0.5904588,8.15297244116664e-05,0.6298798084259033,0.030192671110853553,0.0010014611244201566,64.98208618164062,0.009130802540387976,85.97587551444886,784.2133657165506,0.5,0.02652418506331742,0.5696029499173164,0.15000178062282693,0.020211621332168618
120000,102.95712072402239,0.00950412451610903,0.028361658,9.903260832652453,0.59500235,7.729598291916773e-05,0.6283983156085015,0.030139267863705754,0.001003977560997006,64.6813735961914,0.009135945438430665,88.01936295597348,765.1785697418242,0.6,0.02655812380835414,0.569862362742424,0.15077882338017123,0.020259724676609022
140000,102.85002067685127,0.009082788528129467,0.028344631,13.01122510340065,0.5981406,0.00015707107377238572,0.6257176652550698,0.03008767459541559,0.0010026142120361302,64.60530090332031,0.015569809539476405,89.20255650286951,743.2506699005137,0.7,0.026597217377275228,0.5701730072498321,0.15988889376111343,0.020301664316654304
160000,102.65874974429607,0.008930912339082003,0.0282256,18.204157054424286,0.600435,8.0964615335688e-05,0.622152416408062,0.03004100630059838,0.0010096589922904877,65.75618743896484,0.01789459024837703,89.5474631376997,733.7074836486889,0.8,0.02663598475046456,0.5704391002655029,0.16155050253048517,0.020405530822276974
180000,102.37987637519835,0.008596885809348944,0.02803714,21.77814887836576,0.60032517,0.00013221873086877167,0.6211251556873322,0.02999547920189798,0.0010111244678497416,67.52934265136719,0.015876237799669634,88.57508961026615,708.2956596832155,0.9,0.025960077857598664,0.570667028427124,0.14734006136916578,0.020401028871536383
200000,102.17543914914131,0.008341946931928404,0.027862495,29.232460679486394,0.5984863,5.476572550833225e-05,0.6208215355873108,0.029932404216378924,0.0010118741393089256,69.15373229980469,0.019958216700377177,88.08987158776209,681.2657784881643,1.0,0.025771921034902334,0.5709483355283738,0.16162766189873157,0.020463792121410064
